# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1480661404
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_adjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_adjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,sigma.1,sigma.2,sigma.3,sigma.4,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,index.1,index.2,index.3,index.4
-254.416,1,0.125,3,7,0,335.101,-0.84536,-0.0775723,1.58669,0.525376,-1.22564,0.964915,-0.699625,-0.882013,1.56518,1.42615,1.61056,1.7265,0.620136,1.13615,0.0102189,-0.738065,0.0156405,-1.39997,0.586065,0.520585,0.175134,0.364163,240,0.00181806,0.361434,0.572495,0.436125,0.236558,0.492537,0.290312,0.272148,0.539777,0,0,0,0,0.390493,0.331227,0.40591,0.348622,0,0,0.432581,0.312059,0.299873,0.478723,0.467976,0,6,8,6,9
-254.416,0,10.0182,0,1,1,268.742,-0.84536,-0.0775723,1.58669,0.525376,-1.22564,0.964915,-0.699625,-0.882013,1.56518,1.42615,1.61056,1.7265,0.620136,1.13615,0.0102189,-0.738065,0.0156405,-1.39997,0.586065,0.520585,0.175134,0.364163,240,0.00181806,0.361434,0.572495,0.436125,0.236558,0.492537,0.290312,0.272148,0.539777,0,0,0,0,0.390493,0.331227,0.40591,0.348622,0,0,0.432581,0.312059,0.299873,0.478723,0.467976,0,6,8,6,9
-254.416,0,0.951493,0,1,1,264.809,-0.84536,-0.0775723,1.58669,0.525376,-1.22564,0.964915,-0.699625,-0.882013,1.56518,1.42615,1.61056,1.7265,0.620136,1.13615,0.0102189,-0.738065,0.0156405,-1.39997,0.586065,0.520585,0.175134,0.364163,240,0.00181806,0.361434,0.572495,0.436125,0.236558,0.492537,0.290312,0.272148,0.539777,0,0,0,0,0.390493,0.331227,0.40591,0.348622,0,0,0.432581,0.312059,0.299873,0.478723,0.467976,0,6,8,6,9
-241.714,1,0.0488594,6,63,0,267.573,-0.179229,1.85407,-1.35764,-1.26202,1.61203,-1.10231,1.54809,2.28896,-2.26555,1.78742,-0.542001,1.46096,1.04952,0.828437,-1.70956,2.0034,-0.613024,0.331561,0.00381431,0.00166764,0.214423,0.0074195,240,0.00181806,0.419294,0.416352,0.416439,0.419072,0.416585,0.419013,0.418754,0.41693,0,0,0,0,0.390986,0.543157,0.39917,0.539753,0,0,0.414958,0.419678,0.421001,0.41289,0.420105,0,6,8,6,9
-232.464,0.999523,0.0333642,7,127,0,258.095,-0.112991,-0.85665,0.220335,-2.07603,-0.576026,0.49636,-1.79074,0.232148,0.910265,-0.44003,-0.365521,-2.10955,-1.39073,-0.619791,1.46798,-2.29556,0.051575,-0.347073,0.172418,0.00795127,0.0695717,0.00823845,240,0.00181806,0.411555,0.457084,0.361809,0.423305,0.4689,0.373228,0.416886,0.418188,0,0,0,0,0.406608,0.43185,0.450122,0.411376,0,0,0.418799,0.414255,0.418274,0.419623,0.416937,0,6,8,6,9
-224.423,0.999868,0.026075,7,127,0,246.44,-0.675873,1.36386,0.0636741,0.417207,-0.740048,-0.758726,1.10869,-0.803109,0.85729,-1.35971,-0.0249507,-0.561853,-0.121287,0.266815,-0.434369,1.61782,-1.25693,-1.57593,0.230235,0.0128869,0.581425,0.117806,240,0.00181806,0.43307,0.363563,0.382053,0.323012,0.322097,0.419138,0.372842,0.377676,0,0,0,0,0.404612,0.258913,0.256855,0.502677,0,0,0.358247,0.408425,0.357085,0.401538,0.342658,0,6,8,6,9
-219.671,0.999885,0.0222673,7,127,0,230.684,-0.254317,1.45233,0.334239,-0.577637,-0.584857,-0.508388,0.889816,-0.630786,0.252201,-1.26993,-0.16024,-0.560863,-0.135239,0.192969,-0.433941,1.36696,-1.57023,-1.51828,0.270166,0.0112764,0.635341,0.0843137,240,0.00181806,0.462719,0.390418,0.33472,0.334295,0.338813,0.425939,0.385763,0.388056,0,0,0,0,0.362535,0.361487,0.372655,0.588469,0,0,0.38051,0.407856,0.378149,0.395303,0.365917,0,6,8,6,9
-221.424,0.998451,0.0201776,8,255,0,230.889,-0.324174,0.375238,0.930016,-0.401456,0.0477154,0.251117,-0.231475,-0.392334,-0.407771,-0.773454,1.92841,0.212311,1.536,1.5097,-1.71399,-1.41967,-1.38663,0.103404,0.599873,0.082431,0.260102,0.0584369,240,0.00181806,0.448446,0.531315,0.337981,0.400549,0.430131,0.361131,0.418757,0.418453,0,0,0,0,0.407551,0.435592,0.448437,0.418103,0,0,0.42619,0.419421,0.417172,0.416956,0.411855,0,6,8,6,9
-215.781,0.996378,0.0189716,7,255,0,230.589,0.535036,1.36719,0.450633,-1.39258,-0.475646,0.0398398,-0.365921,-0.353515,-1.01893,0.382551,0.863214,-1.68062,-0.376561,1.112,1.29157,-0.567959,-0.798306,0.356629,0.359124,0.306496,0.430182,0.166343,240,0.00181806,0.591623,0.511995,0.354186,0.430962,0.47588,0.440454,0.491259,0.442165,0,0,0,0,0.423536,0.519695,0.573588,0.531247,0,0,0.483203,0.466931,0.467428,0.440905,0.496977,0,6,8,6,9
-215.853,0.999112,0.0182534,8,255,0,224.477,-0.72225,0.856114,0.19465,-0.0448608,0.0470066,0.0179251,-0.0314217,0.430362,0.597364,-0.32039,-1.04244,1.52555,0.521813,-0.689267,-1.24912,0.640552,0.985973,-0.423161,0.742669,0.0800025,0.793536,0.131139,240,0.00181806,0.48845,0.368845,0.328504,0.343718,0.338866,0.330708,0.359399,0.362446,0,0,0,0,0.357026,0.373734,0.368411,0.35945,0,0,0.356683,0.355216,0.369047,0.374103,0.346681,0,6,8,6,9
