# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1480661404
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_adjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_adjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,sigma.1,sigma.2,sigma.3,sigma.4,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_beta.11,p_beta.12,p_beta.13,p_beta.14,p_beta.15,p_beta.16,p_beta.17,p_sigma.1,p_sigma.2,p_sigma.3,p_sigma.4,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_beta.11,g_beta.12,g_beta.13,g_beta.14,g_beta.15,g_beta.16,g_beta.17,g_sigma.1,g_sigma.2,g_sigma.3,g_sigma.4
-254.416,1,0.125,3,7,0,335.101,-0.84536,-0.0775723,1.58669,0.525376,-1.22564,0.964915,-0.699625,-0.882013,1.56518,1.42615,1.61056,1.7265,0.620136,1.13615,0.0102189,-0.738065,0.0156405,-1.39997,-0.534325,-0.652803,-1.74221,-1.01015,2.09834,0.101669,-0.779782,-0.135722,0.974831,-1.8118,4.04518,4.29436,-0.780852,-1.07333,-0.778675,0.620531,-0.875972,-0.39968,-1.24483,1.55382,-1.31426,1.02925,-6.39214,-6.82929,-0.280699,-4.39129,-19.0582,-2.3818,3.90505,-1.20221,-4.24907,2.24708,-16.0316,-21.577,9.97793,2.51782,1.61056,1.7265,0.620136,1.13615,0.0102189,-0.738065,0.0156405,-1.39997,21.5493,24.3205,-1.39149,4.76436
-254.416,0,10.0182,0,1,1,268.742,-0.84536,-0.0775723,1.58669,0.525376,-1.22564,0.964915,-0.699625,-0.882013,1.56518,1.42615,1.61056,1.7265,0.620136,1.13615,0.0102189,-0.738065,0.0156405,-1.39997,-0.534325,-0.652803,-1.74221,-1.01015,0.951016,1.2231,-0.836471,-1.80336,1.73557,-3.45261,-0.0166557,0.124632,-0.912312,-1.67805,-0.158351,0.581786,0.12094,0.12203,-0.828988,0.532158,0.12999,-0.59217,0.409228,0.0144075,0.521415,1.23806,-19.0582,-2.3818,3.90505,-1.20221,-4.24907,2.24708,-16.0316,-21.577,9.97793,2.51782,1.61056,1.7265,0.620136,1.13615,0.0102189,-0.738065,0.0156405,-1.39997,21.5493,24.3205,-1.39149,4.76436
-254.416,0,0.951493,0,1,1,264.809,-0.84536,-0.0775723,1.58669,0.525376,-1.22564,0.964915,-0.699625,-0.882013,1.56518,1.42615,1.61056,1.7265,0.620136,1.13615,0.0102189,-0.738065,0.0156405,-1.39997,-0.534325,-0.652803,-1.74221,-1.01015,1.21773,0.97693,-0.884703,0.0612646,-2.1846,0.737245,-0.912688,-0.200507,-0.80143,1.38286,-0.277111,-0.785959,0.793736,-0.495944,1.31707,-0.134648,0.716254,-0.928812,-0.298141,1.74311,0.359871,-0.928278,-19.0582,-2.3818,3.90505,-1.20221,-4.24907,2.24708,-16.0316,-21.577,9.97793,2.51782,1.61056,1.7265,0.620136,1.13615,0.0102189,-0.738065,0.0156405,-1.39997,21.5493,24.3205,-1.39149,4.76436
-241.714,1,0.0488594,6,63,0,267.573,-0.179229,1.85407,-1.35764,-1.26202,1.61203,-1.10231,1.54809,2.28896,-2.26555,1.78742,-0.542001,1.46096,1.04952,0.828437,-1.70956,2.0034,-0.613024,0.331561,-5.569,-6.39634,-1.5398,-4.90364,-2.97712,-0.114789,1.50688,0.330968,-1.1628,0.926142,-0.829033,-1.19134,2.04375,1.58973,1.58886,1.78846,0.664295,1.17137,-0.061127,-0.654871,-0.00993628,-1.38693,2.52849,3.08561,-0.201557,1.89545,2.50333,1.84406,-1.37059,-0.643501,1.67864,-1.17414,1.55097,2.28089,-2.24262,1.78916,-0.542001,1.46096,1.04952,0.828437,-1.70956,2.0034,-0.613024,0.331561,-1.00831,-1.03333,-1.48354,-0.905314
-232.464,0.999523,0.0333642,7,127,0,258.095,-0.112991,-0.85665,0.220335,-2.07603,-0.576026,0.49636,-1.79074,0.232148,0.910265,-0.44003,-0.365521,-2.10955,-1.39073,-0.619791,1.46798,-2.29556,0.051575,-0.347073,-1.75783,-4.83442,-2.6654,-4.79894,0.344687,-2.37711,2.98472,1.47695,-0.891921,2.61269,-0.914076,-1.35333,0.657931,-1.48865,2.1041,1.10161,0.518397,-0.636888,0.900681,0.203521,1.36215,-0.0381924,0.252204,-2.1969,0.469923,2.70734,5.73417,-1.29715,0.126567,-1.34736,-0.0680272,2.04732,-2.62374,0.223538,0.998723,-0.430623,-0.365521,-2.10955,-1.39073,-0.619791,1.46798,-2.29556,0.051575,-0.347073,0.87894,-0.945471,-1.71942,-1.06864
-224.423,0.999868,0.026075,7,127,0,246.44,-0.675873,1.36386,0.0636741,0.417207,-0.740048,-0.758726,1.10869,-0.803109,0.85729,-1.35971,-0.0249507,-0.561853,-0.121287,0.266815,-0.434369,1.61782,-1.25693,-1.57593,-1.46866,-4.35154,-0.542274,-2.13871,0.0465584,1.11259,1.46544,-0.821324,1.68698,1.7356,-0.873767,0.929511,-2.54536,1.62333,0.434152,2.74226,1.66678,0.561127,-1.44091,1.72178,0.652456,1.29118,-0.665062,1.17029,0.0759758,-1.90247,3.24259,1.04629,-0.75839,5.78588,-1.3398,-2.94073,3.143,-1.03724,1.38167,-1.43897,-0.0249507,-0.561853,-0.121287,0.266815,-0.434369,1.61782,-1.25693,-1.57593,0.0420468,-0.923899,3.12227,1.55649
-219.671,0.999885,0.0222673,7,127,0,230.684,-0.254317,1.45233,0.334239,-0.577637,-0.584857,-0.508388,0.889816,-0.630786,0.252201,-1.26993,-0.16024,-0.560863,-0.135239,0.192969,-0.433941,1.36696,-1.57023,-1.51828,-1.30872,-4.48504,-0.453593,-2.47321,2.06742,0.0793504,0.929158,-2.62053,0.663533,1.17536,-0.954557,0.679374,-1.80423,0.503868,-0.359004,0.103816,-0.0156516,-0.246445,0.079354,-0.965274,-0.615479,0.438634,0.683518,-0.215005,0.00714661,-1.04223,-4.85763,0.948978,-0.876073,-2.26912,-1.02099,-1.81756,1.76739,-0.976931,0.33536,-1.34242,-0.16024,-0.560863,-0.135239,0.192969,-0.433941,1.36696,-1.57023,-1.51828,-1.7475,-0.909903,1.40475,0.128123
-221.424,0.998451,0.0201776,8,255,0,230.889,-0.324174,0.375238,0.930016,-0.401456,0.0477154,0.251117,-0.231475,-0.392334,-0.407771,-0.773454,1.92841,0.212311,1.536,1.5097,-1.71399,-1.41967,-1.38663,0.103404,-0.511037,-2.49579,-1.34668,-2.83981,0.861896,-0.656006,0.14912,-0.665351,0.520947,0.616269,-0.657617,1.07898,-0.541124,1.38338,-0.0791687,0.53869,-0.0553938,-0.382849,0.65117,-1.20033,1.75536,1.51707,1.22843,1.89535,-0.00252001,0.204156,5.04511,-0.734166,2.77517,2.08252,1.34858,3.89271,-3.77738,-0.511208,0.374823,-0.67964,1.92841,0.212311,1.536,1.5097,-1.71399,-1.41967,-1.38663,0.103404,2.42717,-1.09904,-1.31687,-1.25562
-215.781,0.996378,0.0189716,7,255,0,230.589,0.535036,1.36719,0.450633,-1.39258,-0.475646,0.0398398,-0.365921,-0.353515,-1.01893,0.382551,0.863214,-1.68062,-0.376561,1.112,1.29157,-0.567959,-0.798306,0.356629,-1.02409,-1.18255,-0.843547,-1.7937,0.491948,-0.158815,-0.051219,-0.602283,0.924318,-0.497042,1.93931,-1.97156,0.972837,-0.583619,2.08736,-0.0487999,1.49564,1.70258,-1.53222,-1.52609,-1.52879,0.160622,-0.175338,-1.29165,-0.480215,-0.694587,16.3664,1.64647,0.866334,4.97435,0.653318,3.58089,1.37337,2.60073,1.99927,0.920323,0.863214,-1.68062,-0.376561,1.112,1.29157,-0.567959,-0.798306,0.356629,-1.31524,-3.88409,-8.73862,-2.04355
-215.853,0.999112,0.0182534,8,255,0,224.477,-0.72225,0.856114,0.19465,-0.0448608,0.0470066,0.0179251,-0.0314217,0.430362,0.597364,-0.32039,-1.04244,1.52555,0.521813,-0.689267,-1.24912,0.640552,0.985973,-0.423161,-0.297505,-2.5257,-0.231257,-2.0315,0.524931,-0.492364,-0.45256,1.56959,0.442409,-0.0480838,1.45427,0.933309,1.96104,0.779906,-0.568775,-0.806352,0.502763,1.74908,0.328415,0.202104,0.609211,-0.206448,0.862024,0.441455,-0.721793,0.341153,-12.7806,0.260581,-3.21278,-5.93137,-0.0749264,-1.58144,-8.00023,-1.31854,0.899267,-0.36391,-1.04244,1.52555,0.521813,-0.689267,-1.24912,0.640552,0.985973,-0.423161,-1.22488,-1.29808,0.097722,-1.07882
