# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1929026750
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_unadjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_unadjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_sigma.1,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_sigma.1
-256.48,1,0.0625,5,31,0,413.374,-1.49217,-0.726248,-0.116226,-0.300768,-1.18685,0.498644,0.375397,0.557208,1.06902,-1.26937,0.259269,0.0761914,-1.45433,4.08347,7.67868,15.2712,-47.9377,-17.7478,-26.73,-0.61182,-18.7558,2.96087,-21.6557,30.1035
-256.48,0,10.0182,0,1,1,261.714,-1.49217,-0.726248,-0.116226,-0.300768,-1.18685,0.498644,0.375397,0.557208,-1.00421,-1.30981,0.678457,-2.24112,-0.909574,1.0648,-0.257123,-0.481815,-47.9377,-17.7478,-26.73,-0.61182,-18.7558,2.96087,-21.6557,30.1035
-256.48,0,0.951493,0,1,1,260.041,-1.49217,-0.726248,-0.116226,-0.300768,-1.18685,0.498644,0.375397,0.557208,1.145,-0.182742,-0.990748,0.174432,1.15331,-0.942505,1.31956,-0.896814,-47.9377,-17.7478,-26.73,-0.61182,-18.7558,2.96087,-21.6557,30.1035
-227.299,0.99919,0.0488594,6,63,0,262.844,0.21014,-0.407033,1.2369,0.0807573,-0.575936,0.0121002,0.283241,-1.05274,0.113338,-1.81734,-3.11209,-0.743096,-2.26881,2.70569,1.05821,6.62946,56.1282,-0.456812,4.64222,1.09807,1.54508,5.27362,8.04208,4.70316
-216.695,1,0.0332871,3,7,0,230.798,-0.0407999,-0.347654,1.33396,0.185994,-0.482203,-0.0441679,0.423241,-1.05107,-4.86928,0.626781,0.758116,0.998404,0.874777,-0.78232,1.04862,-0.234686,39.0751,-0.819687,3.86479,1.07472,0.99537,3.6466,5.98086,4.53169
-206.583,0.999999,0.0260491,5,63,0,219.376,-0.474296,-0.250784,1.16088,0.107374,-0.529003,0.141666,0.235185,-1.27619,4.21222,-0.698279,1.27762,0.562859,0.315804,-1.00989,1.38491,1.53943,3.00724,-1.16874,1.19573,0.591603,-0.284074,1.35027,0.152227,-0.376107
-207.184,0.999096,0.0222536,7,127,0,209.022,-1.15071,1.5709,0.743919,-0.19156,0.695158,0.0371152,0.742056,-0.0969879,-0.277382,1.16324,0.206364,-0.729073,-0.88549,-0.276222,-0.628373,0.645623,-9.75367,2.41915,-2.7365,0.235376,2.21851,-4.93659,-1.41011,-2.15351
-207.273,0.992422,0.0201156,6,127,0,213.617,-0.697398,0.518859,0.956388,0.55528,0.612489,-0.269259,1.02495,-1.33267,0.969435,1.62391,-0.331296,-0.787848,0.813021,0.129784,0.805433,2.65589,-6.05802,-0.369559,0.0400333,0.966645,1.02168,-0.47316,0.799075,-1.77114
-205.912,0.999962,0.0185577,7,127,0,210.486,-0.454384,0.214522,1.05136,-0.866317,0.241786,-0.130153,-0.109014,-0.927108,0.54279,-0.465536,1.50289,1.35456,1.82657,0.0996574,-0.390827,1.02163,3.02999,-0.742308,1.65302,-0.401612,1.42224,1.13712,-1.28752,-0.330632
-207.671,0.99954,0.0180565,7,127,0,210.33,-0.40153,0.0762366,-0.0471996,-0.719852,0.397203,-1.21598,0.803525,-1.88859,0.058256,0.606287,-0.445437,0.434417,-1.00741,0.408998,-0.646268,-1.72073,4.42188,-0.305292,-0.506873,-0.473917,0.870065,-0.918865,1.35853,-0.760643
-209.861,0.995278,0.0179295,7,127,0,213.824,-0.704799,-0.478758,2.30305,-0.543728,-0.557808,-0.0372752,0.884574,-1.71346,-1.29415,0.9376,-0.4636,0.610992,-0.523908,1.11817,-1.80505,0.0404819,-10.42,-1.28072,2.01536,-0.33357,-0.647553,-0.0263413,0.0917858,-1.86425
