# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2020433332
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_unadjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_unadjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,sigma.1,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.9.1,index.1
-237.278,1,0.125,2,3,0,364.116,0.224697,1.32815,-0.700126,1.11659,-0.379428,0.0816243,1.77047,1.0314,0.40375,0.67068,0.53603,9,0.111111,0.718417,0.462423,0.69492,0.505328,0.566712,0.763817,0.685153,0.608526,0.642033,9
-237.278,0,10.0182,0,1,1,245.514,0.224697,1.32815,-0.700126,1.11659,-0.379428,0.0816243,1.77047,1.0314,0.40375,0.67068,0.53603,9,0.111111,0.718417,0.462423,0.69492,0.505328,0.566712,0.763817,0.685153,0.608526,0.642033,9
-237.278,0,0.951493,0,1,1,243.599,0.224697,1.32815,-0.700126,1.11659,-0.379428,0.0816243,1.77047,1.0314,0.40375,0.67068,0.53603,9,0.111111,0.718417,0.462423,0.69492,0.505328,0.566712,0.763817,0.685153,0.608526,0.642033,9
-210.261,1,0.0488594,3,7,0,244.662,-0.468837,1.18952,-0.549471,1.50975,-0.41904,-0.318825,1.77215,0.975897,0.301466,0.846226,0.427984,9,0.111111,0.510064,0.330926,0.544212,0.3434,0.353135,0.571902,0.487211,0.415854,0.473359,9
-207.693,0.997385,0.0333642,6,63,0,214.465,-0.460059,1.04147,-0.323823,1.29719,-0.411395,-0.599592,1.4763,0.429141,-0.12901,1.30745,0.373512,9,0.111111,0.482244,0.3587,0.506114,0.351211,0.335366,0.522823,0.425614,0.375605,0.507072,9
-205.967,0.996076,0.0259093,7,127,0,212.224,-0.125552,-0.912008,1.87166,-0.245455,-1.02415,-1.08713,-1.25717,0.902696,-2.03349,-2.03366,0.413239,9,0.111111,0.37697,0.656535,0.443496,0.36615,0.360131,0.344103,0.561555,0.275704,0.275691,9
-203.445,0.999627,0.0218667,7,127,0,210.549,-0.588526,1.13111,0.695305,1.27593,0.593394,-0.40846,0.818552,-0.0823157,0.0872499,-0.0416861,0.392748,9,0.111111,0.463991,0.421786,0.478162,0.412056,0.321051,0.433634,0.349587,0.364877,0.353224,9
-201.566,0.999795,0.0197928,7,127,0,207.437,-0.440414,-0.283016,1.7521,0.0115788,0.0470625,-0.755053,0.604207,-0.00274523,-0.581834,-0.321177,0.764216,9,0.111111,0.341481,0.710656,0.393753,0.400244,0.265527,0.505332,0.391143,0.29213,0.334954,9
-202.944,0.997706,0.018685,7,127,0,205.927,-0.476282,-0.402996,1.13589,1.1621,0.0788659,-0.529971,-0.184017,-0.162966,-0.925646,0.435517,0.288332,9,0.111111,0.356066,0.462876,0.464755,0.388519,0.347717,0.370671,0.372088,0.32231,0.413211,9
-203.385,0.999617,0.0180519,7,127,0,206.364,0.0707092,0.693209,0.341314,-0.384406,-0.95462,-1.40263,-0.0736368,0.884274,-0.74334,-1.9331,0.837116,9,0.111111,0.657237,0.588176,0.437557,0.325542,0.249093,0.502267,0.692312,0.365504,0.175445,9
-209.363,0.999386,0.0179293,7,127,0,214.585,-0.440488,0.999698,0.334206,-0.170209,-0.843738,-1.05816,-0.326478,2.08665,1.29771,-1.57322,0.196151,9,0.111111,0.439203,0.40735,0.3837,0.352975,0.34343,0.376477,0.492203,0.453648,0.321022,9
-200.999,0.999695,0.0180804,7,127,0,216.358,-0.51412,-0.561968,1.47909,1.33972,-0.208335,-0.353166,0.0480137,-0.139539,-0.622466,0.123347,0.466109,9,0.111111,0.31517,0.543712,0.527556,0.351779,0.336544,0.379484,0.359126,0.309116,0.387786,9
-199.137,0.995078,0.0184678,6,127,0,204.367,-0.383921,0.707184,0.525072,0.119781,-0.177896,-0.631041,-0.0225245,0.399946,-0.74292,0.0884653,0.758012,9,0.111111,0.53796,0.503522,0.427239,0.37314,0.296868,0.401073,0.479822,0.279476,0.42144,9
-200.407,0.991443,0.0187568,7,127,0,203.15,-0.648206,-0.451005,1.25924,1.03418,-0.449237,-0.452069,-0.498944,0.567,-0.719542,-0.149624,0.604266,9,0.111111,0.284809,0.528148,0.494179,0.285026,0.284678,0.278945,0.424192,0.252939,0.323306,9
-205.574,0.998208,0.0189625,7,127,0,208.522,0.0276379,0.499634,-0.154605,-0.510452,-0.0924504,-1.02678,-1.65654,0.553852,-1.25865,-0.788638,0.634966,9,0.111111,0.585378,0.482375,0.426418,0.492234,0.348797,0.264209,0.593708,0.316141,0.383878,9
-202.815,0.999892,0.0196787,7,127,0,208.029,-0.422487,-1.14116,0.781384,0.734223,-0.446218,-1.09949,0.0778517,-0.0233738,-0.564553,-1.07796,0.321491,9,0.111111,0.312306,0.457284,0.453524,0.362174,0.315191,0.401923,0.394126,0.353432,0.316687,9
-201.859,0.999532,0.0206031,7,127,0,205.29,-0.155565,1.02159,0.633685,0.298793,-0.560456,-0.649133,0.85109,0.96229,-1.35178,-0.223264,0.684835,9,0.111111,0.632755,0.569155,0.512262,0.368331,0.354318,0.605226,0.623268,0.253259,0.42349,9
-204.122,0.999973,0.0216032,7,127,0,206.959,-0.702317,-0.236229,2.53764,1.91352,-0.199728,-0.650599,0.878147,0.353707,-0.693883,-0.145522,0.336967,9,0.111111,0.313907,0.538122,0.485623,0.316562,0.284643,0.399773,0.358213,0.281682,0.320526,9
-203.196,0.999999,0.0227236,7,127,0,205.857,-0.454717,-0.002914,2.14212,2.08795,-0.00707624,-0.665717,0.952327,0.671637,-1.00437,0.22005,0.481751,9,0.111111,0.387906,0.640435,0.634403,0.38743,0.315306,0.501017,0.467258,0.281188,0.413696,9
-198.159,0.999049,0.023933,6,127,0,209.799,-0.588421,0.515334,1.36347,0.786576,0.15671,-0.411648,0.393945,0.822661,-1.1324,-0.467854,0.640303,9,0.111111,0.435745,0.570678,0.478819,0.380346,0.299013,0.416738,0.484588,0.211902,0.291525,9
