# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2020433332
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_unadjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_unadjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,sigma.1,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_sigma.1,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_sigma.1
-216.042,1,0.125,5,31,0,222.012,-0.535264,-1.00182,1.92961,-0.278779,-1.85895,-1.85457,1.65097,1.34307,0.385713,-1.16155,-3.42285,-2.01161,-0.493396,1.48362,0.925082,-0.930238,0.242306,0.967255,0.961868,-0.684535,-1.14752,-0.151115,-8.45648,-1.06566,1.63534,-0.496683,-1.84347,-1.59814,1.64803,1.27902,0.45784,-1.12095,-2.02508
-216.042,0,10.0182,0,1,1,220.127,-0.535264,-1.00182,1.92961,-0.278779,-1.85895,-1.85457,1.65097,1.34307,0.385713,-1.16155,-3.42285,0.210637,0.514145,-0.676527,-0.175268,-1.52818,-0.742911,0.742857,1.43846,0.440558,1.27934,0.185189,-8.45648,-1.06566,1.63534,-0.496683,-1.84347,-1.59814,1.64803,1.27902,0.45784,-1.12095,-2.02508
-216.042,0,0.951493,0,1,1,224.095,-0.535264,-1.00182,1.92961,-0.278779,-1.85895,-1.85457,1.65097,1.34307,0.385713,-1.16155,-3.42285,-1.94458,-0.69916,1.89387,0.589186,-0.318533,0.144505,-0.302809,0.618417,-1.68494,0.496664,-2.05409,-8.45648,-1.06566,1.63534,-0.496683,-1.84347,-1.59814,1.64803,1.27902,0.45784,-1.12095,-2.02508
-211.1,0.970476,0.0488594,6,63,0,223.493,-0.325114,0.616889,0.38459,-0.229923,1.15479,-0.882469,-2.07877,-0.367849,-0.0845992,-0.292238,-0.551753,1.4467,0.829684,-0.715222,3.02354,-1.15438,2.58852,-0.230179,-0.806562,-1.35356,1.32821,-0.135216,5.14957,1.58941,-2.78845,-3.61918,8.28354,0.175805,-2.71486,-1.54787,1.47424,0.520863,8.42001
-204.95,0.99968,0.0306652,6,127,0,225.407,-0.35409,1.00723,2.22934,0.326651,0.0594443,-1.2707,-0.502283,0.80853,-0.169388,-2.08623,-1.24538,-0.419748,-0.312535,-3.07107,-1.55191,2.61969,0.394963,-3.07763,-2.08024,0.364192,2.68937,0.786478,5.0801,1.32356,1.73565,-0.830859,1.11298,0.0689499,-0.534153,0.450917,0.581507,-1.94182,-4.21352
-203.377,0.999997,0.0238891,7,127,0,209.132,-0.0624838,0.353005,0.714645,-0.488887,-0.868109,-2.09912,0.344712,0.65439,-1.29683,0.491452,-0.958445,0.805714,-0.483491,-1.98,-0.0754043,1.50633,0.95315,-0.368997,-1.20388,0.242236,0.936108,1.00142,4.30042,1.10286,-0.222913,-1.99391,0.253908,-1.70995,0.569858,0.415025,-0.495222,1.55873,-2.67102
-203.18,0.994739,0.0203606,7,127,0,208.526,-0.419055,0.183025,1.98821,0.693304,0.686153,-1.05543,-0.90067,0.494409,-0.286374,-1.72387,-0.930632,-1.29746,1.11669,0.561901,-1.01179,-0.401347,-0.769575,1.53975,1.42103,0.224515,-0.183681,-1.09368,3.46284,-0.0719185,1.60135,-0.457234,3.08077,-0.348668,-1.06712,-0.0758933,0.573523,-1.62541,-1.8701
-201.929,0.998267,0.0181297,6,127,0,208.649,-0.561021,-0.216885,0.899617,0.434704,-0.00572216,0.227895,0.270593,0.193195,-0.368075,-0.765546,-0.263441,0.570904,-0.194889,0.822544,-0.640333,1.51103,1.21472,-1.40232,0.0266535,0.302653,-1.53717,-1.95206,3.65149,-2.4125,-1.58376,-2.41125,0.639221,10.6328,0.319124,-1.2004,0.561802,-0.638295,-1.5549
-201.88,0.999753,0.0170186,7,127,0,206.499,0.221188,0.37317,0.694748,0.264821,-0.772066,-1.28618,-0.131812,0.756412,-0.663007,-1.34544,-0.183988,-0.00680328,0.0447027,-1.46083,-0.43025,-0.462918,-1.05233,-0.724935,0.673356,-0.883135,-0.403445,-1.91669,19.3772,4.32214,3.10919,2.5411,1.39501,-0.0692678,0.400022,1.26003,1.71138,-0.842199,-1.59294
-207.671,0.999435,0.0165412,7,127,0,209.377,-0.479665,-0.0749323,-0.00313426,1.43135,-0.352669,-0.582383,0.564072,1.08137,-0.89619,-1.58018,-1.96407,0.0945036,0.661307,-0.319859,-0.462681,-0.55303,-1.0192,-0.413307,0.147592,0.119081,-0.575283,0.875365,-3.94603,-0.285882,-1.27878,0.841943,-0.17348,0.648155,0.564903,0.849881,-0.623534,-1.44219,-3.17565
-205.722,0.995026,0.0164174,7,127,0,212.915,-0.113193,-0.142741,0.135385,1.21285,-0.199969,-1.34345,0.982834,1.62133,-0.0415803,0.315529,-0.41251,-2.0554,-0.367908,-2.34817,1.31548,0.205694,-0.432858,0.321358,0.378106,-0.347537,-1.47419,-0.106237,11.1928,-0.00596629,-2.99567,4.50298,2.99315,-2.75289,1.74814,2.14109,2.28087,2.1129,6.52942
-205.747,0.996006,0.016331,7,127,0,211.982,-0.707742,0.550034,0.701599,0.282103,-0.0300592,-0.802483,0.901279,1.97268,-0.32359,0.268682,-0.912649,-0.476361,1.46455,1.81602,-1.90663,0.132951,1.34453,-0.452652,0.348621,-0.810758,-0.373825,-0.464723,-19.9749,-0.0459505,-2.74795,-2.58086,-0.420832,-1.90378,0.93013,1.63879,0.16957,0.746157,-3.92263
-207.346,0.999943,0.0164932,8,255,0,212.419,-0.241374,-0.423489,1.27525,1.81224,-0.563385,-0.737821,-1.2785,-0.856682,-0.768309,-1.61021,-0.305085,1.53646,1.02005,-0.531936,-0.477316,1.27887,-0.630666,0.224215,-1.1384,-1.43058,0.675647,0.593673,8.51387,-1.80455,2.78391,7.87002,-0.741807,1.48678,-1.88884,-2.80446,0.202722,-1.80154,13.6941
-204.495,0.999998,0.0170173,7,255,0,211.734,-0.244812,-0.342125,1.12323,1.79755,-0.486102,-0.778973,-1.36,-0.51652,-0.990111,-1.50962,-0.458642,-0.781667,0.633978,-1.13416,-0.62979,0.504674,-0.424849,-0.389208,2.38751,-1.44084,0.777032,-1.6774,8.60093,-1.184,1.09533,6.00681,0.145825,1.88557,-1.83761,-1.85195,-0.274832,-1.45606,5.62268
-204.661,0.994562,0.0176785,7,127,0,210.818,-0.461488,0.472937,1.93844,-0.542798,-0.393558,-1.43052,0.965061,0.237914,-0.969273,-0.809999,-0.708722,-0.554788,-0.259562,1.9898,-0.350397,0.587052,-1.11486,-1.11134,-1.35504,-0.524167,-1.36713,1.02633,-13.932,0.510835,2.04154,-4.63172,-0.504678,-4.22271,1.21956,-0.590096,-0.508276,-0.477407,5.2999
-202.999,0.999787,0.0181481,6,127,0,207.738,0.138699,-0.426448,0.241712,0.710048,-0.991194,-1.43812,0.422085,-0.778202,-1.6439,-0.454497,-0.632206,0.0445669,-0.937984,-1.67564,1.57326,-0.605854,0.751183,-1.09199,-0.247817,-0.188141,0.214161,1.02305,15.9083,0.0788426,-0.773659,2.52885,0.612544,2.32429,0.926314,-1.59992,-0.826743,0.751205,-7.6775
-202.492,0.999075,0.0190052,7,127,0,209.454,-0.663148,1.02917,2.26488,0.915445,0.514452,-0.544392,-1.12972,1.28258,-0.176211,-1.09111,-0.607464,-1.74402,0.399732,1.51917,-1.11763,-1.27757,-0.424557,-0.252604,-1.51693,-1.20747,-0.556524,-1.10524,-0.439829,1.49752,2.76448,-0.773244,2.19337,-1.17192,-1.62598,0.776542,0.621098,-1.09513,0.593194
