# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=639647342
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_adjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_adjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,sigma.1,sigma.2,sigma.3,sigma.4,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.7.2,marginal.8.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.7.3,marginal.8.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,marginal.7.4,marginal.8.4,index.1,index.2,index.3,index.4
-283.665,0.666667,0.0625,2,3,0,438.877,0.414877,1.42089,-1.64597,-0.792073,0.581465,1.62017,1.13748,-0.198436,-0.265363,1.57724,0.891735,1.6608,1.38921,1.39874,-0.12816,-0.0270026,0.100994,-1.25058,-1.58512,-0.454291,0.241017,0.686197,1.81208,0.21401,320,0.000315844,0.727008,0.603504,0.638206,0.693912,0.734684,0.715961,0.662402,0.659679,0.713698,0.635283,0,0,0,0,0,0,0.522744,0.92515,0.9877,0.971084,0,0,0,0,0.712075,0.695211,0.647592,0.645188,0.710586,0,0,0,8,10,6,9
-283.665,0,5.46488,0,1,1,296.692,0.414877,1.42089,-1.64597,-0.792073,0.581465,1.62017,1.13748,-0.198436,-0.265363,1.57724,0.891735,1.6608,1.38921,1.39874,-0.12816,-0.0270026,0.100994,-1.25058,-1.58512,-0.454291,0.241017,0.686197,1.81208,0.21401,320,0.000315844,0.727008,0.603504,0.638206,0.693912,0.734684,0.715961,0.662402,0.659679,0.713698,0.635283,0,0,0,0,0,0,0.522744,0.92515,0.9877,0.971084,0,0,0,0,0.712075,0.695211,0.647592,0.645188,0.710586,0,0,0,8,10,6,9
-283.665,0,0.433702,0,1,1,302.439,0.414877,1.42089,-1.64597,-0.792073,0.581465,1.62017,1.13748,-0.198436,-0.265363,1.57724,0.891735,1.6608,1.38921,1.39874,-0.12816,-0.0270026,0.100994,-1.25058,-1.58512,-0.454291,0.241017,0.686197,1.81208,0.21401,320,0.000315844,0.727008,0.603504,0.638206,0.693912,0.734684,0.715961,0.662402,0.659679,0.713698,0.635283,0,0,0,0,0,0,0.522744,0.92515,0.9877,0.971084,0,0,0,0,0.712075,0.695211,0.647592,0.645188,0.710586,0,0,0,8,10,6,9
-229.28,0.996594,0.0200999,6,63,0,295.996,-1.24027,1.38018,-1.554,-1.33563,0.144568,-0.180285,-1.01181,0.173361,0.578172,1.43245,-0.548151,0.982888,1.92557,0.00592028,-0.273133,-0.181991,-0.44108,-1.16613,-0.541969,-0.83391,0.215768,0.927852,0.00791625,0.161614,320,0.000315844,0.426452,0.302214,0.310953,0.372638,0.358783,0.324101,0.373873,0.391348,0.500111,0.139896,0,0,0,0,0,0,0.350199,0.352471,0.351972,0.350695,0,0,0,0,0.344224,0.318634,0.355318,0.368153,0.395642,0,0,0,8,10,6,9
-224.848,0.999985,0.0127479,8,255,0,237.847,-0.0565409,0.275215,1.00492,-0.963915,-1.44296,1.03842,-1.35546,-0.592327,-0.198507,0.408136,1.11156,0.13103,-0.025744,-0.215028,1.54065,0.533446,-1.11696,-1.71775,-0.651943,0.421123,0.229948,0.0588516,0.00587396,0.1576,320,0.000315844,0.501734,0.543373,0.431276,0.404611,0.545275,0.409445,0.452245,0.474652,0.46643,0.476582,0,0,0,0,0,0,0.470175,0.469486,0.473059,0.469612,0,0,0,0,0.520092,0.427388,0.456702,0.471961,0.495557,0,0,0,8,10,6,9
-231.406,0.999477,0.00956769,9,511,0,248.869,-0.999714,1.26026,-0.990014,0.108983,1.70176,-0.311578,-0.559509,0.9457,0.422219,0.508674,-0.893404,0.306351,1.73327,0.824499,-1.3551,-1.05207,0.312917,-0.277193,-1.90299,0.834231,0.0802742,0.609742,0.00130055,0.093451,320,0.000315844,0.29084,0.256129,0.272751,0.297954,0.266314,0.262563,0.285831,0.277605,0.338965,0.179221,0,0,0,0,0,0,0.272735,0.273133,0.27263,0.272569,0,0,0,0,0.264666,0.260321,0.287376,0.277785,0.279356,0,0,0,8,10,6,9
-236.024,1,0.007943,9,511,0,247.209,-0.554725,-1.10555,1.19629,-0.510861,-1.32242,0.684668,-0.119467,-1.13599,-0.789434,-0.109359,0.476578,0.232754,-1.50012,-1.5303,1.39009,1.28456,-0.604614,0.413099,1.79008,-1.19817,0.0149591,0.0542438,0.000336589,0.523219,320,0.000315844,0.33279,0.340282,0.334718,0.332089,0.33861,0.33599,0.332692,0.333814,0.332717,0.339629,0,0,0,0,0,0,0.335568,0.335508,0.335655,0.335596,0,0,0,0,0.451896,0.351213,0.241306,0.276034,0.352419,0,0,0,8,10,6,9
-228.055,0.999935,0.0070781,9,511,0,243.21,-0.70534,-0.123551,2.25445,-0.0239989,-0.320989,-0.339378,-1.86991,1.09923,-0.181999,0.334025,-0.848125,1.12855,-1.3465,-0.635275,0.247018,1.49629,0.171173,-0.462961,0.29033,-0.157884,0.0368162,0.193151,0.00178123,0.227267,320,0.000315844,0.310801,0.329575,0.311575,0.309268,0.309126,0.297389,0.320383,0.310347,0.331641,0.283672,0,0,0,0,0,0,0.311842,0.31173,0.311723,0.311147,0,0,0,0,0.307747,0.239123,0.381115,0.315394,0.34116,0,0,0,8,10,6,9
-221.158,0.999873,0.00661887,9,511,0,234.1,-0.736909,0.536608,-0.669296,0.121245,0.254705,1.48354,0.446188,-0.482764,-0.444438,-0.661326,-0.429435,0.0102701,0.337501,0.986732,-1.00784,-0.412533,0.596754,0.974003,-0.0819929,-0.337853,0.108734,0.470321,0.798376,0.373073,320,0.000315844,0.373659,0.345365,0.363806,0.36696,0.396505,0.371505,0.349677,0.350567,0.355147,0.37888,0,0,0,0,0,0,0.308746,0.331418,0.563733,0.365315,0,0,0,0,0.475846,0.385493,0.310674,0.313604,0.297218,0,0,0,8,10,6,9
-217.868,0.99994,0.00640628,9,511,0,235.539,-0.773615,0.458229,-1.2582,1.35234,0.305437,0.945717,-0.83002,-0.320805,-0.984942,0.268119,-0.349876,1.64895,0.42185,0.826859,-0.715905,-0.16297,0.211753,1.03689,-0.70776,-0.291064,0.254897,0.634502,0.111241,0.231483,320,0.000315844,0.359255,0.267049,0.412312,0.350479,0.387853,0.288635,0.31559,0.280708,0.36022,0.27701,0,0,0,0,0,0,0.333735,0.308978,0.324003,0.283293,0,0,0,0,0.385262,0.295265,0.31987,0.287997,0.349597,0,0,0,8,10,6,9
