# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=536066880
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,index.1
-214.702,1,0.125,4,15,0,265.625,-0.640999,-0.815809,0.919355,-1.71903,-1.64201,-1.55643,-0.649184,0.120075,-0.789081,0.0479911,8,0.125,0.336228,0.355058,0.326623,0.327437,0.328342,0.338015,0.346324,0.336514,8
-214.702,0,10.0182,0,1,1,222.101,-0.640999,-0.815809,0.919355,-1.71903,-1.64201,-1.55643,-0.649184,0.120075,-0.789081,0.0479911,8,0.125,0.336228,0.355058,0.326623,0.327437,0.328342,0.338015,0.346324,0.336514,8
-214.702,0,0.951493,0,1,1,216.096,-0.640999,-0.815809,0.919355,-1.71903,-1.64201,-1.55643,-0.649184,0.120075,-0.789081,0.0479911,8,0.125,0.336228,0.355058,0.326623,0.327437,0.328342,0.338015,0.346324,0.336514,8
-209.721,0.999733,0.0488594,6,63,0,217.491,-0.647807,1.89518,0.530492,0.541898,-0.911128,-0.17066,-0.303343,-0.295414,0.0195635,0.59301,8,0.125,0.616816,0.417457,0.419103,0.233596,0.321037,0.304133,0.305129,0.346105,8
-209.595,0.999838,0.0333387,6,63,0,212.604,-0.430519,-1.03684,0.202279,-1.06008,0.430073,1.19245,-0.199155,0.960755,0.251894,0.197577,8,0.125,0.346293,0.403584,0.345254,0.414463,0.451424,0.384648,0.440115,0.405946,8
-213.004,0.989443,0.0260787,7,127,0,217.616,-0.570529,-1.38803,0.815647,1.45652,-1.91149,0.0787778,-0.729417,-0.815413,0.300412,0.0591704,8,0.125,0.34239,0.372322,0.381226,0.335451,0.362191,0.351218,0.35006,0.365226,8
-217.363,0.999549,0.0215709,7,127,0,221.084,-0.67034,2.30937,-1.16282,-0.628487,2.45289,1.13884,0.977941,1.66103,-0.546445,0.126165,8,0.125,0.406373,0.306391,0.320901,0.410749,0.371296,0.36657,0.386802,0.323161,8
-217.07,0.999992,0.0195159,7,255,0,220.829,-0.564869,1.45247,-1.33283,-0.291538,2.97938,1.59135,1.09809,1.34625,-0.0661074,0.0838771,8,0.125,0.391017,0.337006,0.35679,0.421903,0.393794,0.383962,0.388897,0.361141,8
-213.871,0.995771,0.0184326,7,127,0,220.143,-0.677515,0.980869,-0.598445,-0.563305,1.96289,0.453724,1.17073,1.14669,-0.266783,0.0381562,8,0.125,0.345226,0.331735,0.332032,0.353745,0.340694,0.346866,0.346658,0.334546,8
-209.779,0.998498,0.0176984,8,255,0,220.283,-0.268894,0.56777,0.9749,0.388587,-1.1159,0.135555,-0.73261,-1.08086,0.746301,0.0934555,8,0.125,0.44625,0.455671,0.442116,0.407773,0.436292,0.416451,0.408564,0.450377,8
