# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=536066880
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_sigma.1,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_sigma.1
-332.022,1,0.0625,2,3,0,513.958,-1.83692,0.114443,0.528335,1.30151,0.666939,1.89796,-0.812957,-1.17379,0.378206,0.505509,-2.28303,-0.384154,-1.1939,1.9756,0.757039,1.39079,-9.55121,-1.47984,0.0979679,16.039,-64.4974,-14.4766,-10.2251,6.98977,0.625099,17.6034,-81.78,-16.7561,-2.96017,113.341
-332.022,0,10.0182,0,1,1,337.16,-1.83692,0.114443,0.528335,1.30151,0.666939,1.89796,-0.812957,-1.17379,0.378206,0.505509,-0.34357,-0.259388,1.60999,-0.219459,-0.333729,-0.279428,2.53174,0.472309,-0.33063,-0.720216,-64.4974,-14.4766,-10.2251,6.98977,0.625099,17.6034,-81.78,-16.7561,-2.96017,113.341
-332.022,0,0.951493,0,1,1,336.927,-1.83692,0.114443,0.528335,1.30151,0.666939,1.89796,-0.812957,-1.17379,0.378206,0.505509,1.0261,-0.0703522,-0.353332,0.673375,0.00662435,0.625922,-0.987974,-0.866743,-1.76339,1.71626,-64.4974,-14.4766,-10.2251,6.98977,0.625099,17.6034,-81.78,-16.7561,-2.96017,113.341
-210.47,1,0.0488594,3,7,0,331.281,-0.602101,0.186616,0.607257,1.43446,0.769099,1.66603,0.0939801,-0.968763,0.0640009,-0.937143,9.88726,0.850387,0.734363,0.425289,0.448917,-1.63748,6.74528,1.6558,-1.49669,-9.43706,-2.76592,-1.12983,0.050095,2.14717,0.877251,2.57824,0.548587,-2.00318,-0.0633105,2.46972
-211.355,0.986349,0.0333642,7,127,0,216.438,-0.528014,0.177452,0.862858,0.404017,-1.17753,-1.57192,-0.728287,0.191173,1.05461,-3.33526,1.34235,0.112113,-1.08983,-2.09239,-0.188068,-0.918566,-0.27837,1.09258,-0.782465,-0.149123,-6.77927,0.0593791,0.769242,0.394695,-1.17455,-1.63215,-0.672487,0.193288,1.05238,-1.02132
-209.151,0.999872,0.0250707,7,127,0,212.552,-0.296768,-0.0636465,-0.143047,0.72887,-0.280933,-0.902031,-1.32857,-0.275653,0.81075,-2.55339,-0.190902,-0.127862,-0.934371,-0.150215,1.15154,1.36204,0.0715656,-0.34935,-0.819938,1.36811,6.99543,-0.215113,-0.21325,0.800846,-0.260465,-0.929955,-0.768462,-0.169045,0.868645,-1.55719
-209.371,0.998129,0.0213873,7,255,0,212.992,-0.561543,-0.37124,0.376719,-0.943135,-0.527672,-0.572266,0.401062,0.891146,0.119737,-2.69962,-0.975784,0.000278389,-0.445036,1.30638,-0.0367492,-0.769248,-1.54156,-0.750353,0.855333,-0.347677,-7.49622,-0.62044,0.176679,-0.991823,-0.523296,-0.69242,0.553318,0.903466,0.10264,-0.733248
-216.175,0.997337,0.0192617,7,191,0,225.485,-0.431825,-0.455885,-3.31226,1.72615,-0.560477,-0.193076,-1.05562,-0.136941,-0.535836,-2.07469,1.51385,0.296734,-2.5392,2.31918,0.245545,0.613402,-1.41759,-1.22126,-0.518905,0.455759,-7.27863,-0.847386,-4.01613,1.85628,-0.544017,-0.30789,-0.905926,-0.0717567,-0.547051,1.7121
-215.458,0.999497,0.018039,8,255,0,223.163,-0.490142,0.214116,2.67051,-0.606146,2.00345,0.758013,1.33841,-1.04934,-0.361518,-3.18216,-1.15901,0.884563,2.7853,-1.71652,-0.541591,-0.111456,-0.698988,0.785129,0.857071,-0.659336,-0.328188,0.0867586,2.60573,-0.617302,2.0117,0.71941,1.58404,-1.05014,-0.365986,-0.833521
-214.927,0.994668,0.0175237,8,255,0,223.02,-0.347755,-0.45713,-1.82358,0.786235,-2.20868,0.0958966,-1.83435,0.266828,0.793369,-1.38654,-1.0426,1.97968,-1.23311,-0.565593,-0.159707,-2.03553,-1.23938,1.52273,-1.07026,0.413153,-11.9667,-1.19464,-3.13521,1.11633,-2.24185,0.0742977,-3.62201,0.670533,1.0471,5.89787
-211.853,0.998417,0.0171337,7,127,0,218.762,-0.333375,0.515323,-0.540464,-0.0170808,-2.31316,-0.397668,-0.717617,0.232935,1.33837,-2.87422,-1.6868,-0.963775,-1.95953,0.949249,-1.21028,0.311831,-1.58868,0.239485,0.179594,1.06213,6.86499,0.40451,-0.620598,0.0116762,-2.30424,-0.413972,-0.255878,0.309539,1.37602,-1.23512
-212.461,0.999951,0.0172262,7,127,0,219.01,-0.273531,1.30117,0.0584804,-1.40798,-1.96664,0.911955,-0.251563,-0.954531,-0.689364,-0.601994,0.00235706,0.982904,-1.55817,-0.594921,-2.16529,0.167546,0.596598,-0.197626,1.43878,1.47268,7.64679,2.83996,-0.0966149,-2.6763,-2.17627,2.80845,3.4633,-1.83537,-0.987533,5.58023
-210.654,0.999998,0.017612,7,127,0,215.712,-0.389658,-1.46731,0.496271,0.749558,1.2068,0.14159,-1.3999,0.836794,0.176229,-2.52706,-0.85199,-0.830456,0.0168162,1.43283,1.8728,-1.20874,0.145051,0.750691,0.671255,-0.802125,0.570894,-1.72504,0.393084,0.791848,1.2293,0.107209,-1.12314,0.943836,0.199679,-0.83289
