# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1572216266
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgA_N_Serum_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgA_N_Serum_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,x_a.1,x_a.2,x_a.3,x_a.4,x_a.5,x_e.1,x_e.2,x_e.3,x_e.4,x_g.1,x_g.2,x_s.1,x_s.2,sigma,sigma_a_2,sigma_g_2,sigma_e_2,sigma_s_2,b,p_x_a.1,p_x_a.2,p_x_a.3,p_x_a.4,p_x_a.5,p_x_e.1,p_x_e.2,p_x_e.3,p_x_e.4,p_x_g.1,p_x_g.2,p_x_s.1,p_x_s.2,p_sigma,p_sigma_a_2,p_sigma_g_2,p_sigma_e_2,p_sigma_s_2,p_b,g_x_a.1,g_x_a.2,g_x_a.3,g_x_a.4,g_x_a.5,g_x_e.1,g_x_e.2,g_x_e.3,g_x_e.4,g_x_g.1,g_x_g.2,g_x_s.1,g_x_s.2,g_sigma,g_sigma_a_2,g_sigma_g_2,g_sigma_e_2,g_sigma_s_2,g_b
-801.602,1,0.03125,2,3,0,1005.64,0.0694248,-1.53408,-0.116602,0.552808,-1.13433,-0.348592,0.997495,1.64431,-1.21735,1.10573,0.768755,-1.29761,1.22014,0.572944,-0.19456,-0.13259,0.911061,-1.1399,0.0794111,0.83026,-3.06778,0.794392,1.51915,-0.283238,4.8468,1.64731,3.80175,-0.0651899,11.5548,2.2158,-2.51834,6.96179,-8.61414,-1.47354,5.57088,5.59186,1.07339,4.60844,23.4247,-94.7664,9.18582,56.8989,-29.2902,-7.01206,26.9394,89.9439,-14.2057,274.216,56.5876,-126.102,214.281,-38.0162,15.5144,55.3924,115.231,11.6764,63.642
-801.602,0,10.0182,0,1,1,812.797,0.0694248,-1.53408,-0.116602,0.552808,-1.13433,-0.348592,0.997495,1.64431,-1.21735,1.10573,0.768755,-1.29761,1.22014,0.572944,-0.19456,-0.13259,0.911061,-1.1399,0.0794111,-1.41336,-0.0430228,-0.775426,1.10839,1.00835,0.666869,1.00525,0.100746,-0.0333765,0.567359,2.42438,-0.666056,0.561428,1.70482,0.0363427,1.1875,-0.453325,-1.29187,1.71114,23.4247,-94.7664,9.18582,56.8989,-29.2902,-7.01206,26.9394,89.9439,-14.2057,274.216,56.5876,-126.102,214.281,-38.0162,15.5144,55.3924,115.231,11.6764,63.642
-801.602,0,0.951493,0,1,1,813.052,0.0694248,-1.53408,-0.116602,0.552808,-1.13433,-0.348592,0.997495,1.64431,-1.21735,1.10573,0.768755,-1.29761,1.22014,0.572944,-0.19456,-0.13259,0.911061,-1.1399,0.0794111,-0.197867,-0.750446,-2.31589,-0.244111,-2.83957,-0.483366,0.191819,0.967313,0.859239,1.0368,-0.443585,-0.446996,0.954809,-0.165764,0.695136,0.108851,1.96838,-0.0551574,0.29194,23.4247,-94.7664,9.18582,56.8989,-29.2902,-7.01206,26.9394,89.9439,-14.2057,274.216,56.5876,-126.102,214.281,-38.0162,15.5144,55.3924,115.231,11.6764,63.642
-283.095,1,0.0488594,3,7,0,771.046,0.161071,-0.466846,-0.198678,0.149909,-0.962794,0.0529629,0.996635,0.781617,-1.07126,-0.704616,0.316933,-0.153737,-0.524012,0.112562,-0.207587,-0.462902,-0.146268,-1.2801,-0.451023,-0.645666,12.3232,0.378353,-4.66087,3.83118,6.72467,-0.897083,-8.49288,1.90533,-11.0584,-5.5124,12.6989,-13.4867,-6.75474,-1.93376,-3.96844,-9.86171,-1.29841,-2.32661,7.44949,-51.6854,-29.4074,-2.72475,-41.7387,-67.8462,7.4399,18.1391,-12.3054,-209.485,18.639,-23.3202,-102.312,-8.22715,29.2738,41.8732,9.97016,9.33097,-88.8143
-196.408,1,0.0333642,4,15,0,284.145,0.137473,-0.386924,-0.0621183,-0.0387518,-0.823276,0.196984,0.951888,0.778553,-1.03428,-0.381895,0.213098,-0.141953,-0.336813,0.0795477,-0.210101,-0.528333,-0.192936,-1.35074,-0.224858,0.964455,-2.40181,-2.3055,2.74811,-3.20548,-1.77805,0.949373,0.729739,-0.921154,-9.1869,2.24276,-0.700743,-5.18935,1.3859,0.593035,1.47736,1.13669,1.11922,-4.04227,24.0447,-26.8214,2.87922,0.989682,-28.9264,51.8391,8.95038,21.6838,-10.3374,-81.7565,21.8429,-10.9356,-53.4001,35.2195,9.86402,1.98554,17.4207,-1.7292,18.9236
-150.664,1,0.0261121,3,7,0,202.106,-0.216353,-0.259697,-0.0574078,-0.0863724,-0.643303,-0.0519925,0.810451,0.669406,-1.04188,-0.0212514,0.188267,-0.0348782,-0.0767789,-0.0520167,-0.236593,-0.553417,-0.0778135,-1.36047,-0.274553,-3.77577,2.32724,-0.202184,-0.372976,3.09851,-3.01315,-1.86653,-2.31872,0.528919,5.5466,-1.36659,1.25381,4.05173,-1.55449,-0.505878,-0.34643,0.0215859,-0.0281623,-1.3404,-2.26074,-16.9829,4.2764,-3.31642,-24.5099,-17.5452,10.1577,24.8551,-11.9454,-7.27643,18.8392,-1.06012,-11.9894,-15.6497,3.01644,1.40754,21.4367,-0.869699,11.6477
-129.2,1,0.0223089,4,15,0,158.868,-0.239253,-0.0428295,-0.180487,-0.155343,-0.37996,0.0860753,0.804266,-0.0271516,-0.691427,0.0507661,-0.308444,0.0287151,0.0960285,-0.0920234,-0.442821,-0.431459,-0.663738,-1.26243,-0.478168,1.03709,2.35003,0.643008,1.17352,3.50109,-1.07328,-0.789642,-3.89165,2.53991,-0.372207,-1.20912,0.0849034,0.490421,-0.753243,-1.28524,0.543195,-3.26367,0.539688,0.108149,-11.0603,-3.68986,-14.8455,-12.869,-14.9249,11.9466,5.54868,-0.151128,-6.66136,4.57703,-20.9702,2.25156,11.1457,-4.57564,2.55331,1.04166,1.73208,-1.16846,-18.2199
-121.249,0.995396,0.0202232,5,31,0,136.013,0.0860844,0.0548471,0.142896,0.0864985,0.17033,0.0553232,0.462008,0.112171,-0.629252,0.0480198,0.178985,-0.0603996,-0.0395297,-0.0839465,-0.687146,-0.435878,-0.920896,-1.38509,-0.57405,-0.0186955,-1.86249,0.803545,2.17288,-2.29981,-0.950593,1.79907,0.441285,-1.24889,-1.06042,0.731978,-0.326723,-1.10164,0.0293104,0.896086,0.144731,1.06057,0.172018,2.13253,8.15257,2.90567,9.55891,4.31096,3.94167,13.1411,3.24429,3.98766,-5.13161,6.09801,16.2367,-4.54033,-6.79998,0.500709,-0.256212,0.750396,0.949779,-0.829825,4.80776
-121.017,0.986052,0.0188332,5,31,0,131.392,-0.176986,0.101717,-0.024392,0.0456206,0.331698,0.0160032,0.353052,0.367205,-0.408137,-0.0308153,-0.182084,0.0584161,0.0723999,-0.0949182,-0.344119,-0.528836,-0.856899,-1.33781,-0.532044,-1.07524,2.65767,1.03716,0.65759,1.1456,0.264407,0.772648,0.366004,-1.40956,1.19371,1.89568,0.23632,0.516441,0.0328875,-0.902791,0.178701,-0.0040346,-0.259759,-0.815892,-11.3777,5.98412,-5.41855,0.145606,10.0277,-1.96271,2.29592,7.33042,-3.91864,-14.4414,-7.55601,6.06227,8.83401,-3.33818,0.651577,-0.450803,0.923106,-0.942926,-10.6887
-119.747,0.960073,0.0175383,7,127,0,128.906,-0.154389,-0.000318553,0.0338148,-0.0540645,-0.277854,-0.0164116,-0.260932,0.139935,-0.136889,0.0205106,-0.105712,0.0118276,0.123983,-0.0695994,-1.86923,0.68666,-0.427774,0.717163,-0.557796,0.713582,-0.840902,0.458764,-0.00178577,-0.514254,-0.179518,1.0832,-1.87731,-1.63018,-0.674089,0.237987,1.00842,-0.116632,1.94681,-0.37315,-1.67832,0.0780302,0.886342,0.400103,-6.61241,0.546629,2.62867,-3.11661,-7.30614,5.49933,-1.39949,5.22244,-2.67927,35.6744,-3.86047,-3.84658,58.9738,9.79921,-0.948924,1.47809,0.233067,5.79514,16.4616
