# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=91950713
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgG_N_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgG_N_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,x_a.1,x_a.2,x_a.3,x_a.4,x_a.5,x_e.1,x_e.2,x_e.3,x_e.4,x_g.1,x_g.2,x_s.1,x_s.2,sigma,sigma_a_2,sigma_g_2,sigma_e_2,sigma_s_2,b,p_x_a.1,p_x_a.2,p_x_a.3,p_x_a.4,p_x_a.5,p_x_e.1,p_x_e.2,p_x_e.3,p_x_e.4,p_x_g.1,p_x_g.2,p_x_s.1,p_x_s.2,p_sigma,p_sigma_a_2,p_sigma_g_2,p_sigma_e_2,p_sigma_s_2,p_b,g_x_a.1,g_x_a.2,g_x_a.3,g_x_a.4,g_x_a.5,g_x_e.1,g_x_e.2,g_x_e.3,g_x_e.4,g_x_g.1,g_x_g.2,g_x_s.1,g_x_s.2,g_sigma,g_sigma_a_2,g_sigma_g_2,g_sigma_e_2,g_sigma_s_2,g_b
-2299.66,1,0.0078125,3,7,0,4459.67,0.976333,-0.755995,1.28504,-0.860443,0.118596,1.25191,-0.198222,-1.02923,-1.43606,-0.749168,0.0281193,-0.849899,1.77269,-0.870049,-0.559459,-0.585343,-1.0316,-0.222218,-0.27968,-1.98657,-0.889014,-3.40977,-0.492561,-0.60053,-8.18254,0.571415,-0.137026,-0.201149,-4.03488,-0.700661,3.42722,-19.8055,48.833,-4.42191,3.37918,-7.79533,-32.0786,-17.593,262.944,50.9147,369.42,9.90588,52.1359,728.651,0.21912,5.16958,-11.5671,330.372,209.571,-224.971,1432.91,-3442.36,456.587,-362.202,520.828,2145.94,1254.88
-2299.66,0,10.0182,0,1,1,2309.39,0.976333,-0.755995,1.28504,-0.860443,0.118596,1.25191,-0.198222,-1.02923,-1.43606,-0.749168,0.0281193,-0.849899,1.77269,-0.870049,-0.559459,-0.585343,-1.0316,-0.222218,-0.27968,0.70122,-1.02091,-1.1798,0.287752,0.279895,-1.22692,0.90193,-2.2731,0.699567,0.235976,0.330355,-0.667448,0.062179,0.0568863,-0.399128,-0.913153,1.23506,0.177906,-2.28971,262.944,50.9147,369.42,9.90588,52.1359,728.651,0.21912,5.16958,-11.5671,330.372,209.571,-224.971,1432.91,-3442.36,456.587,-362.202,520.828,2145.94,1254.88
-2299.66,0,0.951493,0,1,1,2312.08,0.976333,-0.755995,1.28504,-0.860443,0.118596,1.25191,-0.198222,-1.02923,-1.43606,-0.749168,0.0281193,-0.849899,1.77269,-0.870049,-0.559459,-0.585343,-1.0316,-0.222218,-0.27968,-1.26355,0.187126,2.02316,0.318452,-0.921082,0.50134,0.377106,-0.182565,0.824418,0.13861,-2.93679,-0.245912,-1.72547,-0.0318848,0.278251,-1.1149,-1.49456,-1.07635,-0.813179,262.944,50.9147,369.42,9.90588,52.1359,728.651,0.21912,5.16958,-11.5671,330.372,209.571,-224.971,1432.91,-3442.36,456.587,-362.202,520.828,2145.94,1254.88
-2299.66,0,0.0488594,0,1,1,2310.09,0.976333,-0.755995,1.28504,-0.860443,0.118596,1.25191,-0.198222,-1.02923,-1.43606,-0.749168,0.0281193,-0.849899,1.77269,-0.870049,-0.559459,-0.585343,-1.0316,-0.222218,-0.27968,-0.654449,-0.49457,-1.38292,-0.823422,-0.464571,-0.311564,-0.508551,2.32469,0.748332,-1.71831,-0.786822,-1.49213,-0.925243,-1.17417,-0.0217724,-0.260135,-0.132897,-1.36706,-1.03472,262.944,50.9147,369.42,9.90588,52.1359,728.651,0.21912,5.16958,-11.5671,330.372,209.571,-224.971,1432.91,-3442.36,456.587,-362.202,520.828,2145.94,1254.88
-2172.83,1,0.00191619,2,3,0,2303.58,0.974961,-0.760322,1.28692,-0.861136,0.120386,1.24982,-0.198455,-1.02675,-1.43783,-0.749228,0.0312748,-0.84994,1.76231,-0.848943,-0.564406,-0.58113,-1.03936,-0.232895,-0.289852,-0.845186,-1.21516,-0.194659,-0.190377,0.371977,-1.90121,-0.0610151,0.638798,-0.439574,-0.608658,0.435049,0.417123,-5.35629,11.8039,-2.13777,1.76251,-2.97672,-6.71046,-4.95575,248.838,41.2645,351.217,2.11405,48.0935,695.322,-0.0549107,3.70195,-11.5505,295.859,197.972,-221.401,1347.27,-3184.13,432.524,-336.091,480.508,1983.07,1166.89
-1953.45,1,0.00132442,3,7,0,2178.76,0.969224,-0.767335,1.27814,-0.854821,0.123142,1.24268,-0.197257,-1.02999,-1.44096,-0.742761,0.0275469,-0.85296,1.75062,-0.806168,-0.568527,-0.576897,-1.0406,-0.257952,-0.309117,-1.70902,-1.41057,-2.54372,1.20102,0.401889,-3.11631,0.227031,-0.616911,-0.559836,0.516289,-1.19499,0.00203619,-5.56151,15.8781,-1.85828,1.62423,-1.41894,-9.58484,-6.51579,225.412,25.4656,319.375,-8.72131,41.634,643.35,-0.470796,0.923482,-11.5942,238.766,174.864,-210.769,1195.76,-2737.11,387.061,-291.068,418.099,1699.85,1017.03
-1762.63,1,0.00104407,3,7,0,1963.22,0.973271,-0.759118,1.27458,-0.858646,0.131343,1.22947,-0.187305,-1.03586,-1.44031,-0.744731,0.0166507,-0.847946,1.73208,-0.761962,-0.57243,-0.572011,-1.04751,-0.274904,-0.324182,-0.215664,-1.52401,1.47369,0.693775,-1.47002,4.1388,-1.90784,1.12376,-0.153979,0.925353,2.51394,-1.49722,6.49337,-15.0587,1.70526,-1.64458,2.32883,7.34489,5.34952,205.259,13.7516,291.123,-19.8308,36.146,593.56,-0.692685,-1.42502,-11.4733,186.168,154.357,-201.127,1069.53,-2350.95,349.921,-255.214,358.33,1461.19,884.256
-1721.67,1,0.000899589,4,15,0,1779.54,0.968124,-0.763267,1.27344,-0.855947,0.125538,1.22616,-0.186252,-1.03916,-1.44593,-0.749474,0.0151664,-0.841775,1.72826,-0.752143,-0.580145,-0.5742,-1.04961,-0.275565,-0.329471,2.17897,1.55365,0.809056,-1.02775,2.19838,2.01831,-0.390995,1.22092,2.06752,1.99758,0.754456,-2.55745,2.8401,-6.74638,3.31882,0.472383,1.2507,2.18464,3.1303,198.847,10.6665,283.138,-21.2877,34.3564,582.531,-0.7792,-2.01806,-11.5043,172.375,149.522,-200.162,1045.96,-2267.92,335.864,-247.578,345.338,1417.51,855.051
-1442.22,1,0.000824805,4,15,0,1726.48,0.953559,-0.768702,1.26121,-0.851407,0.130922,1.21662,-0.195728,-1.03674,-1.44348,-0.751664,0.0165724,-0.830732,1.69854,-0.678832,-0.599606,-0.552783,-1.06058,-0.323485,-0.357216,2.51243,0.661114,2.55285,-0.668633,-0.529219,3.40856,1.1443,-0.309919,-0.34483,0.814764,0.389191,-2.1237,7.48942,-16.9817,3.59944,-3.49755,2.57762,10.8619,6.46285,165.89,-8.20557,239.255,-35.3679,26.0007,512.834,-1.3664,-5.26182,-11.3471,96.759,122.462,-181.875,851.821,-1696.92,271.457,-192.049,263.872,1057.7,659.165
-1050.24,1,0.000790632,6,63,0,1451.26,0.93637,-0.789223,1.23813,-0.83483,0.141074,1.18547,-0.200118,-1.04481,-1.4407,-0.764454,0.0270218,-0.792044,1.62063,-0.518924,-0.632161,-0.51945,-1.05589,-0.420327,-0.399991,-2.20624,-1.2823,-3.074,1.47581,0.569861,-5.46847,-0.296633,-0.511751,0.274256,-1.15422,0.0233976,3.85157,-10.4465,20.1214,-3.84567,3.39859,-1.12792,-12.3177,-6.61316,119.398,-33.6539,175.418,-51.3155,15.0538,413.693,-1.9071,-9.89727,-11.0104,-16.7591,79.9225,-144.391,577.45,-895.31,177.253,-110.53,152.541,558.383,378.929
