# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1883340189
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_adjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_adjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,index.1,index.2,index.3,index.4
-1069.64,1,0.0625,4,15,0,2127.91,-1.28048,0.967691,-0.0974008,-1.89807,-0.527023,0.801819,-0.581835,-0.607287,1.46217,1.01499,-0.539413,1.4932,-1.9777,0.389122,1.35524,-1.65004,0.467625,-1.66841,0.23337,0.213877,0.594069,0.557836,1.04487,0.809915,0.739789,0.692091,0.00168979,0.230637,0.193689,0.141049,0.18001,0.224601,0.178316,0.167094,0.229805,0,0,0,0,0.104383,0.202987,0.348525,0.198029,0,0,0.236188,0.131389,0.129872,0.301601,0.256275,0,6,8,6,9
-1069.64,0,10.0182,0,1,1,1081.97,-1.28048,0.967691,-0.0974008,-1.89807,-0.527023,0.801819,-0.581835,-0.607287,1.46217,1.01499,-0.539413,1.4932,-1.9777,0.389122,1.35524,-1.65004,0.467625,-1.66841,0.23337,0.213877,0.594069,0.557836,1.04487,0.809915,0.739789,0.692091,0.00168979,0.230637,0.193689,0.141049,0.18001,0.224601,0.178316,0.167094,0.229805,0,0,0,0,0.104383,0.202987,0.348525,0.198029,0,0,0.236188,0.131389,0.129872,0.301601,0.256275,0,6,8,6,9
-1069.64,0,0.951493,0,1,1,1079.52,-1.28048,0.967691,-0.0974008,-1.89807,-0.527023,0.801819,-0.581835,-0.607287,1.46217,1.01499,-0.539413,1.4932,-1.9777,0.389122,1.35524,-1.65004,0.467625,-1.66841,0.23337,0.213877,0.594069,0.557836,1.04487,0.809915,0.739789,0.692091,0.00168979,0.230637,0.193689,0.141049,0.18001,0.224601,0.178316,0.167094,0.229805,0,0,0,0,0.104383,0.202987,0.348525,0.198029,0,0,0.236188,0.131389,0.129872,0.301601,0.256275,0,6,8,6,9
-794.071,1,0.0488594,5,31,0,1052.72,-0.707231,0.778153,-0.0570474,-1.90413,-0.825198,0.44361,-0.205199,-0.435967,1.58628,1.13555,-0.548844,1.33265,-2.08857,0.234409,1.26698,-1.56097,0.217145,-1.57258,0.225987,0.237118,0.300267,0.554449,2.01421,4.26595,0.882281,0.986156,0.00168979,0.378107,0.337739,0.256535,0.302486,0.361708,0.33079,0.290058,0.390476,0,0,0,0,0.270067,0.334515,0.418484,0.374644,0,0,0.343003,0.269499,0.245815,0.489739,0.430212,0,6,8,6,9
-750.066,0.996711,0.0333642,5,31,0,807.572,-0.955727,0.965181,-0.241844,-1.01265,-0.0518573,-0.792412,0.401629,0.465738,-1.2663,2.65319,-0.563446,1.47411,-2.34669,-0.446673,1.12183,-1.79835,0.834521,-1.5312,0.0684351,0.0461706,0.184445,0.0735012,4.78758,5.32937,0.991736,0.995176,0.00168979,0.269936,0.254026,0.244194,0.256489,0.246977,0.26243,0.262857,0.247712,0,0,0,0,0.241422,0.275273,0.248925,0.292233,0,0,0.243161,0.259631,0.260535,0.236824,0.292589,0,6,8,6,9
-748.112,0.999372,0.0258573,7,127,0,761.802,-1.71296,-1.58789,0.241314,0.826385,-0.340674,0.652437,0.318069,-0.469237,0.332453,-0.893176,-1.46468,-0.341711,-0.722563,-0.138208,1.52208,0.43554,-1.52141,0.208096,0.302885,0.203024,0.677227,0.320953,5.2582,5.07212,0.994822,0.99377,0.00168979,0.140029,0.219522,0.250821,0.191228,0.24122,0.223466,0.199975,0.226672,0,0,0,0,0.243138,0.128162,0.222392,0.186109,0,0,0.243648,0.224788,0.184493,0.225578,0.165184,0,6,8,6,9
-748.073,0.983778,0.022043,7,127,0,759.106,-0.968213,-1.10247,-1.3123,-0.733983,-0.730408,-1.00455,0.531078,0.768164,-0.691276,2.83233,0.637559,-0.528712,0.0509171,1.28651,-0.890221,0.80087,-1.58894,-1.08846,0.02835,0.040192,0.180864,0.0666861,5.02486,5.06583,0.99347,0.993731,0.00168979,0.254385,0.253262,0.256366,0.256385,0.254911,0.263242,0.261583,0.250443,0,0,0,0,0.251968,0.252089,0.242868,0.297411,0,0,0.239835,0.258962,0.262001,0.243657,0.289418,0,6,8,6,9
-742.417,0.999217,0.0189944,7,255,0,755.853,-0.680154,-0.906101,-0.619601,-0.164472,-0.766353,-0.105178,-0.731884,-1.36083,-0.5159,0.100927,-0.607176,1.02478,1.40393,0.991297,1.01491,-0.780384,-1.06913,0.352943,0.13901,0.0517176,0.220381,0.483992,4.91457,5.2233,0.992715,0.994639,0.00168979,0.226181,0.233149,0.244519,0.229562,0.246027,0.230401,0.231013,0.238776,0,0,0,0,0.240754,0.217587,0.243124,0.218869,0,0,0.281878,0.224758,0.176205,0.243474,0.302476,0,6,8,6,9
-738.872,0.999453,0.0178917,7,127,0,750.23,-0.871792,-0.770969,-0.771696,0.0942471,-0.351352,-0.810948,-0.597836,-1.12835,-0.0241861,0.663334,-0.328906,0.913703,1.52113,0.784948,0.978417,0.0286812,-0.126907,0.716831,0.196967,0.0519033,0.365982,0.193891,5.20426,4.91399,0.994537,0.99271,0.00168979,0.220114,0.22009,0.250571,0.234546,0.218773,0.225991,0.222361,0.232366,0,0,0,0,0.251962,0.222565,0.19489,0.207387,0,0,0.217081,0.224158,0.206843,0.244007,0.269312,0,6,8,6,9
-741.467,0.993703,0.0173775,6,127,0,746.971,-0.878386,-1.27585,-1.20559,0.0129723,-0.182375,-0.871052,-0.446247,-1.5605,-0.344697,0.994957,-0.0243298,1.14896,1.91498,0.743527,0.905441,0.0375158,-0.200022,1.1295,0.258364,0.0427562,0.53345,0.109214,4.80132,5.23371,0.991848,0.994695,0.00168979,0.18668,0.189435,0.242132,0.233058,0.202974,0.221179,0.207728,0.216334,0,0,0,0,0.23885,0.22049,0.16397,0.197328,0,0,0.207032,0.21469,0.195033,0.216551,0.242172,0,6,8,6,9
