# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1883340189
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_adjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_adjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_beta.11,p_beta.12,p_beta.13,p_beta.14,p_beta.15,p_beta.16,p_beta.17,p_sigma.1,p_sigma.2,p_sigma.3,p_sigma.4,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_beta.11,g_beta.12,g_beta.13,g_beta.14,g_beta.15,g_beta.16,g_beta.17,g_sigma.1,g_sigma.2,g_sigma.3,g_sigma.4,g_se,g_sp
-1004.03,1,0.125,2,3,0,1465.37,2.10171,-1.29027,-1.4039,-1.69245,-0.797902,0.504679,1.85173,1.40974,0.292548,1.14421,1.56236,-0.436013,-0.315666,0.754967,0.00801281,0.775282,-0.66006,0.807617,-0.857841,0.443558,-1.36855,-1.23803,-0.448778,2.69796,0.427923,2.17613,0.476913,-0.0435885,-1.21278,0.293868,0.881131,-0.999482,1.13458,0.675026,1.7889,0.65123,-0.310017,0.661529,-1.19826,0.70135,-0.149402,-0.0895999,-0.847274,0.0791548,1.28209,-0.253514,0.7487,30.0557,9.2994,-0.919703,-0.341304,0.182688,-0.246232,1.62634,2.63232,7.04307,7.18257,1.04536,1.56236,-0.436013,-0.315666,0.754967,0.00801281,0.775282,-0.66006,0.807617,-2.25538,9.4723,-3.63562,1.21742,51.9101,-40.7173
-1004.03,0,10.0182,0,1,1,1023.89,2.10171,-1.29027,-1.4039,-1.69245,-0.797902,0.504679,1.85173,1.40974,0.292548,1.14421,1.56236,-0.436013,-0.315666,0.754967,0.00801281,0.775282,-0.66006,0.807617,-0.857841,0.443558,-1.36855,-1.23803,-0.448778,2.69796,0.521059,1.52875,1.19089,-0.00363384,-1.80673,-1.64022,-0.153004,-0.647915,-1.77169,0.670216,0.828346,-0.697558,-0.952066,1.78939,-0.456395,-1.53009,-0.393535,-0.241938,-3.06206,-1.04604,1.50787,-1.12652,1.82321,-0.58109,9.2994,-0.919703,-0.341304,0.182688,-0.246232,1.62634,2.63232,7.04307,7.18257,1.04536,1.56236,-0.436013,-0.315666,0.754967,0.00801281,0.775282,-0.66006,0.807617,-2.25538,9.4723,-3.63562,1.21742,51.9101,-40.7173
-1004.03,0,0.951493,0,1,1,1016.41,2.10171,-1.29027,-1.4039,-1.69245,-0.797902,0.504679,1.85173,1.40974,0.292548,1.14421,1.56236,-0.436013,-0.315666,0.754967,0.00801281,0.775282,-0.66006,0.807617,-0.857841,0.443558,-1.36855,-1.23803,-0.448778,2.69796,0.408627,-0.0755683,0.871587,-1.93443,0.731342,-0.551259,-1.65608,0.800806,-1.05919,-0.632694,-0.457205,-0.370339,0.256411,-0.182485,0.673613,1.58667,0.439508,-1.33942,-0.0765899,0.713126,1.56175,-2.06915,-1.28378,-0.267242,9.2994,-0.919703,-0.341304,0.182688,-0.246232,1.62634,2.63232,7.04307,7.18257,1.04536,1.56236,-0.436013,-0.315666,0.754967,0.00801281,0.775282,-0.66006,0.807617,-2.25538,9.4723,-3.63562,1.21742,51.9101,-40.7173
-777.976,0.994383,0.0488594,5,31,0,1018.53,0.00694386,0.20454,-1.49822,-1.27339,-1.22868,-1.48865,0.617804,0.0784358,-0.0724225,0.86673,1.26833,-1.32271,0.109788,-0.246444,-0.0305636,-0.173392,-1.05268,0.915785,-0.74755,-1.48369,-0.65211,-1.56506,1.83835,6.82601,4.68603,-1.23299,-1.73406,-1.20025,-0.196346,0.869495,5.9228,3.54672,1.46236,0.350498,0.916557,0.931827,-0.633933,1.49638,0.050144,1.43896,0.246384,0.154857,7.99136,4.65428,-1.0102,1.11806,-15.6089,-8.03344,5.82413,4.85118,-4.01742,-2.35481,-1.70618,-9.30822,15.1636,0.816927,1.55394,-0.4723,1.26833,-1.32271,0.109788,-0.246444,-0.0305636,-0.173392,-1.05268,0.915785,19.9293,-0.954002,1.84494,2.70524,-23.5072,5.19097
-748.768,0.958985,0.032833,7,127,0,787.432,-0.963172,-0.773648,0.87961,0.332963,1.51341,-0.451008,-0.0374219,-0.0225865,-0.3692,0.432713,-0.918384,0.442714,0.316883,-0.0732605,0.540273,-0.325023,0.033948,-0.970633,-8.11686,-0.513327,-2.83408,-1.24151,3.26014,4.91604,-1.10016,0.0580801,0.661314,2.01824,0.0975265,-1.12379,1.86515,-1.47329,0.6235,-0.129422,-0.918106,1.76319,-0.699567,0.572164,-0.788458,0.83039,1.90133,-0.181815,0.482579,0.898857,-0.387103,-0.255307,6.44513,3.42826,11.6428,-0.772376,0.883431,0.807288,1.67626,-1.36459,2.77018,8.99087,1.54707,-1.10149,-0.918384,0.442714,0.316883,-0.0732605,0.540273,-0.325023,0.033948,-0.970633,-0.996047,-0.998881,-0.562376,-1.35739,-6.75451,-1.17868
-749.924,0.9933,0.0227228,7,127,0,762.874,-1.55999,-0.708853,-1.35528,2.88413,-0.554293,0.589355,-0.737666,-0.192051,0.00489108,1.55399,-0.0739519,1.25176,0.7089,0.0753165,-0.256264,-0.217339,0.183339,-0.416913,-7.5112,-1.53414,-1.73543,-1.09856,6.54658,5.36927,-1.62996,0.522841,-1.60186,0.438436,-1.93801,0.383903,-0.670367,0.445133,0.109553,-0.241853,0.978128,0.0930155,-0.0202655,0.115727,-0.714575,0.257425,0.047682,0.876525,1.10009,-0.488293,0.0317748,-1.92605,2.83287,-0.28018,2.6546,-0.70668,-1.3487,4.68082,-0.731926,2.70259,-3.5723,-0.497499,2.64789,1.36923,-0.0739519,1.25176,0.7089,0.0753165,-0.256264,-0.217339,0.183339,-0.416913,-0.994611,-0.680164,4.4054,2.38607,2.29948,1.38596
-744.778,0.998953,0.0189479,7,127,0,755.896,-0.268915,0.785652,0.895867,0.624665,-0.267536,-0.440435,0.18964,-0.532575,-0.937435,0.539339,-1.29934,0.537856,0.70301,-0.546487,-0.0154749,0.336036,0.368135,-0.720014,-7.16537,0.246982,-3.22186,-1.58671,4.28669,5.07468,0.504762,0.662033,1.29917,-3.00885,0.519549,-0.623894,-0.946296,0.867493,-0.982836,-0.488262,0.150494,-1.2855,-0.751439,-0.043303,0.257605,0.197942,-0.205299,0.459961,1.02564,0.575117,-0.298365,0.215821,-1.44065,1.04735,7.09145,0.788583,0.904811,0.819664,-0.187087,-0.701681,2.60661,21.0652,-12.6398,-0.571635,-1.29934,0.537856,0.70301,-0.546487,-0.0154749,0.336036,0.368135,-0.720014,-0.993981,-0.0964138,-0.848329,-0.983324,-1.99494,-0.0418837
-750.675,0.980096,0.0170742,8,255,0,764.626,-1.05563,-0.741083,-1.17637,-1.31359,-3.26919,-0.489509,2.8101,0.757032,0.0757708,-0.447876,1.20255,-0.198064,-0.815302,0.691933,-0.0140117,-0.866309,0.123301,0.36348,-2.44079,-2.27695,-1.62919,-4.69739,5.79721,5.43021,0.653865,-0.362842,-0.407388,0.807203,3.36815,1.09105,0.894203,-0.61748,0.210918,0.506451,0.493711,-1.00386,0.172087,-0.288897,0.0814577,1.35353,-1.37759,1.08154,1.32997,-0.228907,0.964357,-0.758066,1.70308,-0.0999429,-14.0469,-0.68841,-1.00823,-5.21476,-3.86246,-0.0562659,2.98081,-0.90688,0.366909,-0.535645,1.20255,-0.198064,-0.815302,0.691933,-0.0140117,-0.866309,0.123301,0.36348,-2.46933,-2.13606,7.73616,-0.839277,1.20703,1.88142
-746.425,0.998774,0.0151294,7,255,0,761.915,-1.07171,0.122912,-0.885348,1.01426,-0.470106,-0.932595,-0.119057,1.78268,-0.669743,1.17459,-1.29512,-0.464351,0.447587,-1.34145,-0.612778,-0.283665,-0.977042,0.767271,-1.1124,-2.53071,-3.55284,-4.73911,4.38042,5.46436,-1.02692,-0.212439,0.244123,0.59846,3.84119,0.401593,-1.47069,-0.657681,-0.290867,0.592228,-1.30039,0.164644,0.850171,-0.791815,-0.0307436,0.847861,-0.195045,-0.308354,1.0114,0.51896,-0.645256,0.675816,-0.418896,2.29218,8.47109,2.58638,0.978402,3.55748,0.736507,-0.972068,-4.68513,2.46716,-0.502769,1.10544,-1.29512,-0.464351,0.447587,-1.34145,-0.612778,-0.283665,-0.977042,0.767271,0.466078,0.0996868,-0.858765,-0.988672,-1.67211,1.58285
-745.986,0.99624,0.0146513,8,255,0,757.092,-0.953776,-0.409492,-0.00956263,-1.67548,0.145617,0.792256,1.24145,-0.0644408,-0.787772,0.798076,0.0310652,-0.635131,-0.190929,1.66642,0.759449,-0.912918,2.76849,-0.207412,-1.77942,-0.0756341,-3.38905,-2.68025,5.88875,5.15155,0.245121,0.342149,-0.326796,0.708241,-1.09536,-0.271616,2.71566,0.42853,-0.0322301,0.368196,-1.4442,-0.854572,0.405207,-0.644247,-0.295222,-0.795586,0.340947,0.757096,-0.422958,-0.829559,-0.941035,2.18383,-0.673542,-0.823156,17.0052,-0.0945868,1.5736,-1.08636,0.758506,3.33045,0.421614,27.4485,-11.0972,0.294304,0.0310652,-0.635131,-0.190929,1.66642,0.759449,-0.912918,2.76849,-0.207412,-1.60888,6.41095,-1.54165,-0.16453,1.46541,0.160917
