# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=896279109
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_sigma.1,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_sigma.1,g_se,g_sp
-1390.71,1,0.125,1,1,0,2138.27,1.39863,-0.719545,0.571918,-0.430733,0.141209,1.1123,-0.874839,-0.0966472,-2.38747,3.76175,-0.116626,-0.312488,0.0357805,0.654342,1.01005,-0.504978,-0.479012,0.25425,8.42475,-37.7098,-35.7546,-3.67548,-2.19641,-1.16179,-2.63418,-1.39734,-22.865,16.8209,-367.093,7.36596
-1390.71,0,10.0182,0,1,1,1396.35,1.39863,-0.719545,0.571918,-0.430733,0.141209,1.1123,-0.874839,-0.0966472,-2.38747,3.76175,1.08695,1.20039,-0.269717,-0.1736,-1.04938,0.347416,0.00622976,-1.63471,-0.383124,2.12514,-35.7546,-3.67548,-2.19641,-1.16179,-2.63418,-1.39734,-22.865,16.8209,-367.093,7.36596
-1390.71,0,0.951493,0,1,1,1394.68,1.39863,-0.719545,0.571918,-0.430733,0.141209,1.1123,-0.874839,-0.0966472,-2.38747,3.76175,0.0930757,0.0854761,-0.487219,0.974124,1.15375,-0.331839,-0.269196,1.17928,0.558295,1.87722,-35.7546,-3.67548,-2.19641,-1.16179,-2.63418,-1.39734,-22.865,16.8209,-367.093,7.36596
-955.793,1,0.0488594,2,3,0,1340.01,1.42633,-0.800306,0.545779,-0.375865,0.194159,1.18727,-0.611139,-0.285789,-0.707005,3.60957,1.02258,-0.741068,-0.305492,0.574772,0.559765,0.710138,3.35704,-2.41969,27.3335,-1.15993,3.47252,-0.125239,3.27365,0.398051,1.44165,3.29614,-6.6068,6.81928,-92.0499,-14.5969
-939.768,0.982709,0.0333642,2,3,0,957.424,1.42535,-0.756987,0.498943,-0.396945,0.171006,1.20377,-0.566167,-0.257418,-0.418473,3.58591,0.517562,-0.619172,0.866996,0.342442,0.432483,-0.091391,-0.781066,-0.21089,-5.73666,-0.181553,20.689,1.38403,5.77242,0.98763,3.11114,5.34766,-1.55756,6.28626,-19.7732,-16.5716
-856.267,0.968981,0.0248001,5,31,0,944.84,0.149942,-0.976813,-0.173165,-1.05378,-0.120474,0.238302,-0.503712,-0.728338,0.111757,4.58119,-9.32097,-0.796686,-3.09093,-1.96716,-1.41224,-4.07507,0.471714,-1.79066,5.87319,4.43668,20.4453,-0.440979,5.43348,-0.304355,2.39054,7.19594,-7.0675,1.86046,-66.3873,-3.70293
-758.493,1,0.0192415,5,31,0,859.136,-1.448,-0.895062,-0.65871,-1.48742,-0.222299,0.14404,-0.321281,-1.26177,2.96444,4.8321,1.5719,-0.444585,1.6332,1.04783,0.39136,0.972019,-2.35194,2.32866,-13.4905,-0.897554,-85.4872,-2.45478,-3.44249,-1.88955,-2.17551,-2.28662,-14.9876,7.90713,-14.908,2.69809
-739.042,0.997676,0.0173998,7,127,0,765.756,-1.09041,-1.57297,-1.0141,-2.85893,0.0695373,-1.69585,2.27585,-2.35324,7.52848,5.13992,-6.3077,-0.97381,0.207002,-1.08059,0.586362,-0.384886,-1.38936,1.64981,-2.51712,0.0420854,12.8931,-1.41874,-0.235291,-2.71535,0.494702,-1.59818,2.00568,-3.09874,3.44148,-0.00891894
-733.845,0.998965,0.0162967,7,127,0,743.821,-1.13638,-0.573118,-0.230642,-2.78891,-0.77448,-1.76984,2.61255,-1.90847,5.25205,5.0497,-0.780775,-1.56516,-0.843122,-1.30246,0.806174,-1.01425,0.587167,-0.793697,3.4353,0.173994,11.0513,-0.296126,1.05934,-2.73763,-0.782907,-2.69056,3.73095,3.10696,0.406238,-0.339488
-726.993,0.999565,0.0157969,7,127,0,735.493,-0.968933,-0.369032,-0.865628,-0.872337,-1.10792,-0.172434,0.0887843,-1.16546,5.48782,5.11204,0.323264,0.123149,-0.965933,2.47823,0.774866,1.53574,-1.3528,2.21094,-0.336781,-0.122899,14.1235,0.965386,0.948895,-0.156086,-1.61331,3.91371,-2.65164,-3.76414,0.828074,-0.162747
