# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=678216098
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_adjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_adjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_beta.11,p_beta.12,p_beta.13,p_beta.14,p_beta.15,p_beta.16,p_beta.17,p_beta.18,p_beta.19,p_beta.20,p_beta.21,p_sigma.1,p_sigma.2,p_sigma.3,p_sigma.4,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_beta.11,g_beta.12,g_beta.13,g_beta.14,g_beta.15,g_beta.16,g_beta.17,g_beta.18,g_beta.19,g_beta.20,g_beta.21,g_sigma.1,g_sigma.2,g_sigma.3,g_sigma.4,g_se,g_sp
-1220.73,1,0.0625,3,7,0,1397.15,-0.454932,0.773844,-0.492961,-0.194364,1.41432,-1.92184,-1.29307,1.66587,-0.371569,-1.69972,-1.3747,0.807647,-0.234785,0.126065,1.04039,0.753829,0.176155,1.98321,-1.74147,1.13324,0.698374,1.21818,-0.674321,1.76476,1.04612,0.975673,1.11732,4.60845,1.5525,-0.669359,-0.646235,7.30585,-1.64352,2.71336,-1.06078,0.513058,-0.205621,0.546239,-2.02319,11.3414,-3.35143,-1.80641,-0.757968,-0.168867,-0.961413,0.378594,0.153889,0.881276,0.968567,-0.367005,1.09585,-5.54144,-7.97752,-1.68176,3.79585,4.56606,19.7004,4.73535,1.20359,62.4527,10.3339,-73.9658,41.8696,27.1363,60.5618,-15.1739,-1.53318,95.7155,22.568,0.126065,1.04039,0.753829,0.176155,1.98321,-1.74147,1.13324,0.698374,1.21818,14.8283,76.1384,9.0838,107.319,190.502,39.8247
-1220.73,0,10.0182,0,1,1,1232.32,-0.454932,0.773844,-0.492961,-0.194364,1.41432,-1.92184,-1.29307,1.66587,-0.371569,-1.69972,-1.3747,0.807647,-0.234785,0.126065,1.04039,0.753829,0.176155,1.98321,-1.74147,1.13324,0.698374,1.21818,-0.674321,1.76476,1.04612,0.975673,1.11732,4.60845,-0.692686,-1.28423,0.136683,0.711536,-0.128934,-0.329446,0.62432,-0.672991,-0.60028,1.05611,0.60261,-0.302097,1.15654,0.464124,1.06314,-2.18527,0.560016,-0.639431,0.891002,-0.521375,1.16869,-0.0675504,-0.0886732,-1.32923,-1.19149,0.309814,0.395463,1.88902,19.7004,4.73535,1.20359,62.4527,10.3339,-73.9658,41.8696,27.1363,60.5618,-15.1739,-1.53318,95.7155,22.568,0.126065,1.04039,0.753829,0.176155,1.98321,-1.74147,1.13324,0.698374,1.21818,14.8283,76.1384,9.0838,107.319,190.502,39.8247
-1220.73,0,0.951493,0,1,1,1231.74,-0.454932,0.773844,-0.492961,-0.194364,1.41432,-1.92184,-1.29307,1.66587,-0.371569,-1.69972,-1.3747,0.807647,-0.234785,0.126065,1.04039,0.753829,0.176155,1.98321,-1.74147,1.13324,0.698374,1.21818,-0.674321,1.76476,1.04612,0.975673,1.11732,4.60845,1.36554,0.722817,0.133189,0.98909,2.09978,0.0924763,0.572594,2.33508,-0.0736288,0.888907,0.358463,0.49852,0.71517,-1.26669,-1.45645,0.600949,-0.441654,-0.334351,-0.724782,-0.496048,-0.00131286,0.0912366,0.104023,-0.74192,0.424176,-0.224802,-0.277079,0.840988,19.7004,4.73535,1.20359,62.4527,10.3339,-73.9658,41.8696,27.1363,60.5618,-15.1739,-1.53318,95.7155,22.568,0.126065,1.04039,0.753829,0.176155,1.98321,-1.74147,1.13324,0.698374,1.21818,14.8283,76.1384,9.0838,107.319,190.502,39.8247
-1132.92,0.179516,0.0488594,3,7,0,1220.87,-0.410508,0.759249,-0.481143,-0.198765,1.43413,-1.84037,-1.30251,1.60883,-0.480663,-1.64988,-1.33699,0.634715,-0.213036,0.0936396,0.994523,0.774927,0.201215,1.98694,-1.70531,1.13481,0.735658,1.12271,-0.792154,1.74079,1.04289,0.81369,0.900126,4.5197,0.713834,-0.412072,0.21742,-0.691628,0.164537,3.29755,-0.139717,-1.80385,-3.87235,1.49267,0.817756,-4.47392,0.198102,-0.665941,-0.963126,0.412889,0.507976,0.0277384,0.78174,0.00431637,0.745124,-1.98151,-2.90491,-1.13499,-0.309205,-6.71369,-7.28846,-2.77011,7.99807,4.64085,1.00136,24.6232,9.86022,-66.7286,-2.19067,26.051,67.1125,-19.3392,-1.88058,38.2543,10.1118,0.0936396,0.994523,0.774927,0.201215,1.98694,-1.70531,1.13481,0.735658,1.12271,20.1899,26.38,9.95228,139.11,116.382,39.0425
-984.884,0.999343,0.0032003,6,63,0,1151.67,-0.404959,0.57192,-0.506596,-0.341347,1.35721,-1.65679,-1.43084,1.32643,-0.774545,-1.61244,-1.34925,0.454291,-0.251762,0.0662463,1.01701,0.622918,0.181337,1.75654,-1.70137,1.12249,0.656257,1.00882,-1.06346,1.5778,0.614254,-0.0471593,0.281551,4.33733,0.284118,-1.92589,-0.287624,-1.01395,-1.14633,3.84829,-0.494392,-3.40122,-4.16212,1.04939,-0.00686508,-2.81213,1.85205,-0.255858,0.151688,-1.4337,-0.192918,-2.21726,0.128939,-0.174574,-0.766902,-1.10366,-3.64871,-2.88617,-4.8932,-12.2907,-7.32028,-3.43359,-12.8548,2.94254,0.974239,-18.6577,6.8684,-26.2577,-13.9084,10.7524,5.28437,-9.72829,-1.87165,14.3406,-74.4488,0.0662463,1.01701,0.622918,0.181337,1.75654,-1.70137,1.12249,0.656257,1.00882,19.3083,28.8327,24.4348,50.9551,-27.0174,24.5847
-925.112,0.999673,0.00225744,6,63,0,990.123,-0.411641,0.570355,-0.627474,-0.298488,1.31024,-1.47856,-1.39838,1.27745,-0.747766,-1.59723,-1.36782,0.349434,0.0562319,0.0844536,1.15153,0.519154,0.176131,1.68915,-1.70121,1.23608,0.577439,0.981125,-1.17775,1.44826,0.514353,-0.243411,0.488674,4.19043,-0.386704,0.168688,1.29458,-0.896065,0.85721,-3.13885,-1.0965,1.29286,-0.0211248,-0.671905,0.103695,2.67354,-6.73465,-0.183761,-1.33209,1.09585,0.0622743,0.777369,-0.0842138,-1.11199,0.841294,0.33342,2.0797,2.5543,2.25319,4.82406,-3.34595,2.20565,-8.18783,3.21661,1.08739,-4.21755,8.21083,-27.8439,-18.0276,20.8771,3.75236,-11.1976,-1.71227,24.3108,-56.9983,0.0844536,1.15153,0.519154,0.176131,1.68915,-1.70121,1.23608,0.577439,0.981125,18.3636,8.42035,27.5369,64.2229,-30.4154,4.95718
-908.119,0.999988,0.00180357,7,127,0,934.455,-0.444652,0.568895,-0.607512,-0.315629,1.34029,-1.49629,-1.31162,1.19061,-0.799057,-1.61089,-1.37478,0.332421,0.167366,0.0134209,1.1667,0.54561,0.175326,1.69412,-1.69404,1.22713,0.719377,1.01222,-1.17209,1.38572,0.467083,-0.331691,0.563466,4.25751,-0.311799,-0.116736,0.323771,-0.131795,0.301717,0.496473,2.06685,-2.15837,-0.97916,0.0746932,-0.0767955,-0.541892,3.30256,-1.2715,0.238767,0.458166,-0.0193046,0.0415487,0.175737,-0.194543,2.51986,0.52818,-0.443323,-1.13302,-1.67549,-3.40994,2.30191,1.09701,-6.14972,3.37942,1.27425,0.617909,8.70541,-28.1559,-16.8373,21.9821,2.30462,-11.0175,-1.63208,13.5722,-35.8795,0.0134209,1.1667,0.54561,0.175326,1.69412,-1.69404,1.22713,0.719377,1.01222,18.8978,1.36585,28.0699,60.7229,-33.4756,1.86783
-805.508,0.999962,0.00156809,8,255,0,922.157,-0.296003,0.421293,-1.09716,-0.763852,0.853631,-1.07208,-0.77034,0.837374,-0.785588,-1.66414,-1.48012,0.127842,0.0347631,-0.387479,1.09647,0.228314,0.0131995,1.74453,-1.85203,0.879334,0.85771,1.30775,-1.5853,1.33138,0.2712,-1.77991,1.59683,4.28062,0.185811,-0.964197,-2.17016,-2.89688,-3.50548,3.6675,3.09152,-2.67059,0.00984987,0.552606,-0.277372,-0.0089467,-3.55659,-1.66296,-0.429812,-1.3798,-0.69272,0.00739518,-0.45323,-1.58725,0.487698,1.10429,-2.94012,-1.45506,-3.36724,-8.26687,7.9726,0.501263,-18.4811,1.9152,0.402509,-32.2947,14.5739,-10.91,-4.59608,2.77638,-1.40674,-4.98451,-1.64023,-37.3567,-31.3341,-0.387479,1.09647,0.228314,0.0131995,1.74453,-1.85203,0.879334,0.85771,1.30775,7.98658,-3.09633,40.8888,5.95906,-31.8933,-3.06056
-749.077,0.999944,0.00144529,10,1023,0,816.385,-0.468699,-0.114738,-1.04944,-0.550001,-0.277778,-0.733723,-0.831308,0.216065,-1.01435,-0.661123,-0.639543,-0.0877572,-0.180027,-0.080903,0.742187,-0.17075,-0.242247,1.59417,-1.86213,1.38155,0.917057,1.48765,-1.5317,1.44702,-1.31103,-2.51772,3.85304,4.46313,0.327655,-1.66746,-0.0728036,1.74888,-3.69469,1.35112,0.663584,-1.87004,-0.312459,3.03544,2.06819,0.905593,0.818552,0.728207,-0.988835,-0.885205,-0.536442,-0.710159,0.39947,0.849097,-0.0708401,0.0787154,-0.790296,-1.70897,-4.55366,-1.86081,7.77601,1.40949,-20.7491,1.22063,0.640899,-7.45465,0.437232,-3.06405,-4.86045,0.744148,-1.40365,-2.82986,-0.572081,-45.0247,-41.4438,-0.080903,0.742187,-0.17075,-0.242247,1.59417,-1.86213,1.38155,0.917057,1.48765,3.23967,14.6226,2.52197,0.435472,-4.41262,-2.68755
-744.967,0.999183,0.00138893,11,2047,0,762.662,-1.46628,-0.714236,-1.86395,0.613436,0.765006,0.900701,0.433751,-0.192413,0.880191,3.15722,-0.570388,0.0170009,-0.566028,0.519756,-0.106927,0.112669,-0.125521,0.417257,0.585681,-0.947777,-0.888405,-1.15801,-1.69711,-3.19713,-1.02437,-2.47811,6.95984,6.25454,0.411034,-1.07921,1.34313,1.36993,-1.25079,-0.0582356,-1.40106,-0.815174,-0.241524,0.546279,-1.98037,-0.319501,0.585974,0.172994,0.778002,-0.134305,-0.335332,1.99934,-1.79095,1.06833,0.577585,1.08063,-0.124484,1.92239,1.16593,2.02962,0.540719,1.16591,5.00064,-0.406891,-0.647855,0.0783247,2.21559,3.63536,-0.650021,0.281899,1.40088,2.11687,-0.565659,-0.0661281,-0.218536,0.519756,-0.106927,0.112669,-0.125521,0.417257,0.585681,-0.947777,-0.888405,-1.15801,-4.3396,-1.15722,1.2371,-1.90341,2.79576,3.92482
