# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=307650850
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,sigma.1,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.9.1,marginal.10.1,index.1
-888.461,1,0.125,2,3,0,1132.51,-0.287648,-0.178536,-1.04752,0.86258,0.38953,-0.526906,1.16636,-0.285243,-0.281912,1.40755,0.35802,1.7209,0.470468,4.98393,0.615495,0.993199,0.1,0.355514,0.110041,0.767949,0.594523,0.232472,0.848069,0.314638,0.315876,0.894222,0.581387,10
-888.461,0,10.0182,0,1,1,896.991,-0.287648,-0.178536,-1.04752,0.86258,0.38953,-0.526906,1.16636,-0.285243,-0.281912,1.40755,0.35802,1.7209,0.470468,4.98393,0.615495,0.993199,0.1,0.355514,0.110041,0.767949,0.594523,0.232472,0.848069,0.314638,0.315876,0.894222,0.581387,10
-888.461,0,0.951493,0,1,1,894.916,-0.287648,-0.178536,-1.04752,0.86258,0.38953,-0.526906,1.16636,-0.285243,-0.281912,1.40755,0.35802,1.7209,0.470468,4.98393,0.615495,0.993199,0.1,0.355514,0.110041,0.767949,0.594523,0.232472,0.848069,0.314638,0.315876,0.894222,0.581387,10
-835.049,1,0.0488594,3,7,0,890.833,-0.647051,-0.238471,-1.17619,0.990345,0.212878,-0.390447,0.948232,-0.196641,-0.178353,1.23865,0.302435,1.12691,0.294362,5.05512,0.573064,0.993664,0.1,0.285817,0.12212,0.615141,0.399594,0.252175,0.603846,0.295536,0.299845,0.678915,0.424034,10
-794.648,0.991433,0.0333642,3,7,0,842.003,-0.771975,-0.342233,-1.27523,0.935744,0.275255,-0.535402,0.55041,0.0364361,-0.111046,1.20776,0.297765,0.942192,0.813823,5.1104,0.692924,0.994002,0.1,0.250786,0.122015,0.527392,0.374577,0.218159,0.436991,0.323519,0.293883,0.590484,0.379558,10
-740.31,0.999742,0.0254536,4,15,0,804.432,-1.0205,-0.0976684,-1.42786,0.572936,-0.0447545,-0.523117,-0.0172846,-0.0590775,0.181987,1.62018,0.430858,0.626102,2.27262,5.46132,0.906584,0.99577,0.1,0.253193,0.128478,0.340338,0.259509,0.206193,0.262827,0.257789,0.287704,0.498474,0.320659,10
-722.607,1,0.0217142,5,31,0,744.618,-1.31603,-0.250911,-1.44652,0.00198934,0.0386701,0.215859,0.390598,0.245978,0.208678,0.838166,-0.088294,1.05276,3.77531,4.80985,0.977584,0.991917,0.1,0.17077,0.0552593,0.211829,0.218348,0.251848,0.28806,0.257869,0.250426,0.393258,0.196395,10
-721.773,0.999047,0.0196753,6,63,0,727.675,-1.24451,-0.458829,-1.56813,0.59072,0.13244,0.165188,0.108697,0.035093,0.229264,0.808832,0.178545,1.139,3.91036,5.19206,0.98036,0.99447,0.1,0.145902,0.0460618,0.36085,0.25093,0.258006,0.245881,0.230669,0.272223,0.419885,0.260929,10
-725.89,0.965424,0.0185294,7,127,0,731.898,-0.9947,-0.337528,-1.74652,0.17827,-0.354077,-0.512492,0.150979,-1.27597,-0.790094,1.29497,-0.804026,0.928889,6.89736,5.41781,0.998991,0.995583,0.1,0.212784,0.068051,0.303834,0.21022,0.186829,0.298499,0.101567,0.150765,0.551858,0.149116,10
-726.818,0.989175,0.016166,7,127,0,733.485,-1.07318,-0.635789,-2.74452,0.54681,0.120508,-0.620017,0.598826,-0.0353153,-0.674132,0.0434304,-0.112561,0.524618,4.43375,4.97207,0.988269,0.993119,0.1,0.196751,0.0749515,0.31296,0.266987,0.198061,0.318858,0.251297,0.193591,0.259149,0.243749,10
-727.239,0.996304,0.0155322,7,127,0,734.483,-1.33882,0.0940834,-2.2709,0.372145,-0.188791,0.353951,-0.0226821,0.0466007,1.03654,1.58789,-0.474909,0.621178,5.67747,4.78236,0.996589,0.991693,0.1,0.217485,0.0601172,0.248308,0.189065,0.246205,0.205394,0.212507,0.332933,0.412785,0.163307,10
-726.252,0.999858,0.0155139,7,127,0,731.059,-1.37542,0.133928,-2.05186,0.871494,0.546019,-0.293813,1.23373,0.101798,1.00549,1.30783,-0.227064,0.455381,5.08669,5.72169,0.993859,0.996737,0.1,0.211747,0.090315,0.273179,0.244758,0.181056,0.307124,0.209315,0.285461,0.314351,0.185606,10
-723.772,0.999983,0.0158618,7,127,0,729.61,-1.34871,-0.0210891,-1.1086,0.881357,0.384355,0.470253,0.252206,0.799866,0.277656,1.18466,0.435646,0.646927,5.72352,5.30864,0.996742,0.995076,0.1,0.203858,0.112457,0.314636,0.249729,0.260285,0.234056,0.30338,0.23702,0.358398,0.255997,10
-726.022,0.997724,0.0163707,7,127,0,730.27,-1.25661,-0.535001,-1.91812,0.95035,0.556276,0.0406962,0.851955,-0.263026,0.654884,1.53558,-0.103826,0.217539,5.40815,5.11749,0.99554,0.994045,0.1,0.202136,0.157908,0.259249,0.243129,0.223088,0.25516,0.211847,0.247098,0.284436,0.217687,10
-725.402,0.999754,0.0168902,7,127,0,733.626,-1.38629,0.434854,-0.506776,1.12503,-0.0258641,0.297342,0.792195,-1.16885,-0.232752,1.52302,-0.0912953,0.478709,6.18945,4.96367,0.997953,0.993061,0.1,0.235391,0.163983,0.299911,0.198028,0.22375,0.267556,0.125009,0.182768,0.341368,0.1931,10
