# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=307650850
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,sigma.1,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_sigma.1,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_sigma.1,g_se,g_sp
-1031.29,0.3886,0.125,2,3,0,1090.43,1.60898,1.26977,-0.894314,-1.59455,0.990857,1.27722,1.71409,-0.489791,0.613793,-0.807482,1.28304,-0.324049,-0.980134,2.3303,0.997396,-2.37976,0.617974,-2.42589,-0.532329,-1.18171,-0.00336227,0.677035,1.81002,2.04347,-0.47504,2.37322,-1.51218,-9.36045,0.210732,1.62166,0.407205,-3.99731,1.14973,1.61406,1.60531,-0.236788,0.672012,-1.85671,1.37224,4.11207,-126.121,-54.9162
-1031.29,0,3.29619,0,1,1,1040.66,1.60898,1.26977,-0.894314,-1.59455,0.990857,1.27722,1.71409,-0.489791,0.613793,-0.807482,1.28304,-0.324049,-0.980134,2.3303,-0.316712,-0.965888,0.0969828,-0.396376,2.44635,0.834983,-2.48691,-0.930621,1.404,-0.411903,0.184127,0.812789,0.422404,-0.893915,0.210732,1.62166,0.407205,-3.99731,1.14973,1.61406,1.60531,-0.236788,0.672012,-1.85671,1.37224,4.11207,-126.121,-54.9162
-1031.29,0,0.225191,0,1,1,1033.63,1.60898,1.26977,-0.894314,-1.59455,0.990857,1.27722,1.71409,-0.489791,0.613793,-0.807482,1.28304,-0.324049,-0.980134,2.3303,0.281744,0.651607,-0.134455,0.389806,0.0165471,0.335742,0.573983,-0.873841,0.382054,0.0319622,-0.282681,-0.453769,-0.562941,-1.42883,0.210732,1.62166,0.407205,-3.99731,1.14973,1.61406,1.60531,-0.236788,0.672012,-1.85671,1.37224,4.11207,-126.121,-54.9162
-1000.51,0.999473,0.00958074,4,15,0,1040.1,1.67938,1.38453,-0.824253,-1.50078,0.966858,1.30627,1.73049,-0.423306,0.64584,-0.921409,1.21275,-0.436505,-0.567189,2.34278,0.681068,1.42055,0.888292,1.33187,-0.374679,0.294788,0.12168,0.868533,0.386912,-1.41832,-0.972224,-1.66667,7.83788,2.41422,11.3689,2.30687,0.925633,-2.0743,2.00979,2.70717,3.10653,0.133915,0.927465,-1.71891,1.51507,6.60869,-16.548,-58.7074
-912.919,0.999994,0.00580733,7,127,0,1007.84,0.710907,1.09173,-1.18154,-0.995797,1.26387,1.92021,1.53403,-0.84322,1.11493,-1.07834,0.802855,-1.19697,-0.291041,4.96455,-7.24992,-1.30911,-1.11728,1.6465,0.316448,0.970183,-1.32261,-1.12872,1.03619,-0.0798238,-1.38552,-4.08447,1.49803,10.2773,31.5534,2.75848,0.388182,-1.69867,2.74194,4.31053,4.12257,-0.387759,1.46926,-2.04347,1.28546,11.8351,-33.6426,-1.2152
-888.47,0.999251,0.00421213,7,127,0,916.542,0.389997,1.19654,-1.24027,-0.848452,1.40263,1.81756,1.45375,-0.789729,1.01917,-1.01111,0.651669,-1.43641,0.0118454,5.06559,5.39463,-0.571882,0.457893,-1.17821,-0.818513,1.07778,0.915255,-0.418329,0.809016,-0.625606,1.2056,2.70027,-3.43633,-0.821305,52.6776,3.20077,0.285718,-1.1454,3.31515,4.90625,4.98396,-0.29801,1.45104,-1.82923,1.21439,14.6695,-14.1617,-1.00357
-839.762,0.99977,0.00341795,7,127,0,897.806,-0.28611,1.55536,-1.41144,-0.901553,1.22312,1.80662,1.23939,-0.651508,1.19318,-0.577369,0.491176,-1.81511,0.377913,5.07205,-8.35977,1.73123,-0.959511,-0.17932,-1.26265,-0.462926,-1.55355,0.803003,0.845324,2.57012,-0.992035,-3.17092,4.36005,0.126274,31.5746,2.91934,-0.313239,-1.84061,2.13091,3.69495,2.1067,-0.365257,1.42912,-1.37776,0.770381,6.8719,-51.1336,-0.667632
-783.717,0.999872,0.00300132,7,127,0,850.576,-0.826457,1.4762,-1.45161,-0.376285,1.1297,1.51483,1.36582,-0.478402,1.5784,-0.523157,0.366495,-2.02597,1.26219,5.20029,6.84571,0.710168,0.19583,-3.075,0.720547,1.96729,-0.480252,-0.997484,-2.02112,-0.420992,0.766967,1.81897,-7.90572,-0.762253,19.6491,2.55302,-0.493356,-1.32563,1.64132,2.75816,1.44585,-0.249965,1.77307,-1.3388,0.53835,2.94606,-35.4802,0.214132
-753.16,0.999998,0.00278289,8,255,0,787.361,-1.25359,1.14669,-1.22108,-0.511155,1.35178,1.40217,1.51277,-0.708248,1.54895,-0.863063,0.324119,-2.1376,2.37366,5.22408,-1.7257,-1.51339,0.927078,-0.291036,0.636908,-0.715852,0.447721,-0.806976,-0.334773,-1.07123,-0.217151,-0.515376,7.67122,-0.00468478,-22.7666,1.56022,-0.425764,-1.9393,1.24554,1.56709,-0.0805253,-0.614064,1.58404,-1.77139,0.319899,-2.20146,-19.3695,1.28584
-739.295,1,0.0026833,9,511,0,759.414,-1.28524,0.461888,-1.04461,-0.788013,1.62475,1.54569,1.02539,-0.839863,0.553642,-0.311211,1.32002,-3.09562,5.37227,6.0114,0.308814,1.29584,-0.463928,-0.200403,0.392639,0.633383,0.892033,-0.132537,1.62726,-1.08251,-0.766258,1.06038,-5.58758,0.297432,-26.9999,0.580133,-0.687795,-1.27403,1.55869,1.56125,0.176809,-0.779989,0.543064,-0.639424,1.34547,-1.7637,0.387115,3.70686
