# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=744051095
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_adjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_adjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.7.2,marginal.8.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.7.3,marginal.8.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,marginal.7.4,marginal.8.4,index.1,index.2,index.3,index.4
-1121,0.571429,0.125,2,7,1,2248.84,2.41899,0.255698,0.482889,1.97417,-0.919617,-0.0195287,1.95763,0.907363,-0.30356,1.31843,-1.04401,-1.33812,-0.176152,-1.36654,1.67264,-2.04432,-0.770154,-0.229027,-0.54591,0.122468,2.01467,1.22947,3.00685,0.671664,0.183011,9.63061,0.545625,0.999934,0.000437415,0.938724,0.952527,0.995475,0.828939,0.918814,0.995332,0.972575,0.894267,0.983638,0.911772,0,0,0,0,0,0,0.999746,0.739755,0.939234,0.999733,0,0,0,0,0.936603,0.967707,0.952924,0.930949,0.959163,0,0,0,8,10,6,9
-1121,0,4.59598,0,1,1,1134.5,2.41899,0.255698,0.482889,1.97417,-0.919617,-0.0195287,1.95763,0.907363,-0.30356,1.31843,-1.04401,-1.33812,-0.176152,-1.36654,1.67264,-2.04432,-0.770154,-0.229027,-0.54591,0.122468,2.01467,1.22947,3.00685,0.671664,0.183011,9.63061,0.545625,0.999934,0.000437415,0.938724,0.952527,0.995475,0.828939,0.918814,0.995332,0.972575,0.894267,0.983638,0.911772,0,0,0,0,0,0,0.999746,0.739755,0.939234,0.999733,0,0,0,0,0.936603,0.967707,0.952924,0.930949,0.959163,0,0,0,8,10,6,9
-1121,0,0.346499,0,1,1,1134.33,2.41899,0.255698,0.482889,1.97417,-0.919617,-0.0195287,1.95763,0.907363,-0.30356,1.31843,-1.04401,-1.33812,-0.176152,-1.36654,1.67264,-2.04432,-0.770154,-0.229027,-0.54591,0.122468,2.01467,1.22947,3.00685,0.671664,0.183011,9.63061,0.545625,0.999934,0.000437415,0.938724,0.952527,0.995475,0.828939,0.918814,0.995332,0.972575,0.894267,0.983638,0.911772,0,0,0,0,0,0,0.999746,0.739755,0.939234,0.999733,0,0,0,0,0.936603,0.967707,0.952924,0.930949,0.959163,0,0,0,8,10,6,9
-1008.54,1,0.0155948,3,7,0,1128.92,2.33,0.187215,0.513195,2.14041,-0.869817,0.0993038,1.93346,0.937369,-0.405562,1.3443,-1.15054,-1.26332,-0.155919,-1.41886,1.75026,-2.09948,-0.904202,-0.305761,-0.543949,0.0828516,2.00618,1.38569,3.37411,0.642254,-0.777849,9.69578,0.314784,0.999938,0.000437415,0.927367,0.946005,0.994709,0.83642,0.921684,0.992312,0.96569,0.882143,0.984791,0.902269,0,0,0,0,0,0,0.999901,0.704912,0.942028,0.999801,0,0,0,0,0.935621,0.962094,0.948894,0.926589,0.954611,0,0,0,8,10,6,9
-974.521,0.995974,0.00980599,8,255,0,1022.09,1.32442,-0.0567281,0.870511,2.36978,-0.395446,0.661888,1.28083,0.39273,-0.108187,0.0646201,-1.24145,-1.64623,0.628178,-1.40704,0.510843,-1.70226,-0.542998,-0.794387,-0.213667,0.974741,0.635551,0.125099,0.778518,0.359685,-0.688294,6.75426,0.334413,0.998835,0.000437415,0.906989,0.944574,0.977271,0.888656,0.937551,0.956338,0.927327,0.904378,0.941148,0.932064,0,0,0,0,0,0,0.975332,0.826555,0.913946,0.944646,0,0,0,0,0.939566,0.950479,0.934188,0.92306,0.92707,0,0,0,8,10,6,9
-779.503,0.994722,0.00718966,8,255,0,994.191,-0.531966,-1.39065,0.392115,1.49118,-0.0867163,-0.00600993,-0.286236,-1.30299,-0.355599,-0.326245,-1.71777,-0.591631,-0.389866,-0.716775,-1.97332,-1.77095,-0.75441,-3.03039,-0.560503,0.534317,0.0465093,0.144466,0.0122035,0.151416,5.53269,4.5672,0.99606,0.98972,0.000437415,0.309112,0.327032,0.33834,0.322167,0.322984,0.32015,0.309981,0.319451,0.341939,0.298306,0,0,0,0,0,0,0.323546,0.319361,0.319574,0.318834,0,0,0,0,0.33829,0.328882,0.295918,0.326574,0.32755,0,0,0,8,10,6,9
-763.772,0.999918,0.00583732,9,511,0,796.285,-0.690488,-1.31663,0.385636,1.75775,-0.723556,-1.14969,-1.60801,-0.125448,-2.89888,0.389603,-0.0542637,-0.641587,1.6181,-0.664528,0.523854,0.620933,-1.52365,1.12425,-0.0303088,-0.622424,0.0519819,0.163645,0.00479606,0.0955712,4.48213,5.37114,0.988817,0.995373,0.000437415,0.303273,0.322243,0.337976,0.309811,0.305105,0.300089,0.316482,0.286218,0.317673,0.302187,0,0,0,0,0,0,0.311864,0.309325,0.30889,0.308422,0,0,0,0,0.309278,0.300011,0.330542,0.274787,0.341509,0,0,0,8,10,6,9
-759.416,0.999858,0.00517389,9,511,0,772.798,-0.922727,-1.26593,0.308654,1.30165,-0.0903599,-1.03818,-1.62176,-0.233334,-2.53946,0.738432,0.323279,-1.56073,1.71478,-0.679368,0.0836288,0.340589,-1.54521,0.985328,-0.530245,-0.269328,0.046411,0.287625,0.0044491,0.0669331,4.92586,4.95945,0.992796,0.993032,0.000437415,0.29084,0.306114,0.315973,0.302201,0.293021,0.287451,0.300806,0.27882,0.308285,0.283455,0,0,0,0,0,0,0.297652,0.296362,0.295485,0.294946,0,0,0,0,0.296348,0.288278,0.307688,0.275857,0.321695,0,0,0,8,10,6,9
-754.482,0.99997,0.00482241,9,1023,0,770.808,-1.29279,-1.2577,-0.231232,1.58343,-0.0207648,-1.55918,-0.261884,-0.0491893,-2.17192,0.238858,0.482487,-1.18773,2.10445,-0.749297,0.121769,0.317135,-1.45594,-0.211441,-0.181013,0.424124,0.0791052,0.164648,0.00761924,0.050107,5.44982,5.42145,0.995721,0.995599,0.000437415,0.20291,0.216355,0.24167,0.21919,0.199082,0.215944,0.218805,0.191469,0.210926,0.217669,0,0,0,0,0,0,0.215618,0.213561,0.211602,0.213253,0,0,0,0,0.207281,0.218152,0.219973,0.202287,0.222456,0,0,0,8,10,6,9
-746.408,0.999965,0.00466181,10,1023,0,766.154,-0.457742,-0.738869,2.64273,-1.48119,0.355565,-0.675464,-0.623334,-1.34417,-0.404918,-0.472213,-2.26276,-0.0919055,0.610472,-0.583032,-2.32684,-0.495411,-0.928897,-0.448995,0.484495,-0.239216,0.389867,0.203097,0.134511,0.0236758,5.13667,4.7348,0.994157,0.991292,0.000437415,0.240999,0.539711,0.192372,0.326524,0.245516,0.249272,0.200754,0.265419,0.314331,0.24572,0,0,0,0,0,0,0.26844,0.316145,0.288809,0.290158,0,0,0,0,0.282658,0.282892,0.279669,0.283873,0.28357,0,0,0,8,10,6,9
