# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1220920576
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_sigma.1,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_sigma.1,g_se,g_sp
-1232.67,0.0842266,0.125,3,12,1,1245.72,-1.4633,1.16348,-1.39392,-1.35748,-1.13789,-0.0330255,0.637732,-0.719652,-1.90497,1.65861,-1.74286,1.60442,2.12801,0.975705,-0.736061,-1.05861,-0.597899,0.815851,1.84244,-1.23521,-1.30303,0.133315,-2.44812,-2.30332,-0.467014,1.23977,-1.39136,-1.35729,-1.13824,0.269771,5.44593,-0.676883,-1.90495,7.36283,-217.848,-57.7118
-1232.67,0,1.89527,0,1,1,1235.57,-1.4633,1.16348,-1.39392,-1.35748,-1.13789,-0.0330255,0.637732,-0.719652,-1.90497,1.65861,-1.74286,1.60442,-0.777983,-0.496423,0.380084,1.102,-1.17114,-0.188546,-0.395568,-0.476503,0.773499,0.127701,0.290758,1.04784,-0.467014,1.23977,-1.39136,-1.35729,-1.13824,0.269771,5.44593,-0.676883,-1.90495,7.36283,-217.848,-57.7118
-1038.33,0.33411,0.109896,2,3,0,1182.81,-1.4583,1.04403,-1.60902,-1.36288,-1.00578,0.0470846,0.451668,-0.602594,-2.20309,1.65323,-0.585529,2.02329,0.27709,1.20012,1.86798,-0.0265074,-1.25765,-0.905726,4.05146,-1.20251,2.59164,1.45055,-15.1595,-5.00446,5.87063,2.05916,-1.62699,-1.37765,-1.01032,-3.21689,42.92,-2.49948,-2.20326,25.5086,-84.2307,-21.7104
-1006.63,0.999063,0.0103708,4,15,0,1042.71,-1.60979,0.959803,-1.52708,-1.31986,-0.987695,0.127628,0.275315,-0.709425,-2.14648,1.60865,-0.339314,2.15923,1.77985,1.05061,-0.95193,-0.524291,-0.240647,-0.940094,3.14693,1.04063,-0.707596,1.28318,-6.96285,-2.0408,0.27426,4.81092,-1.57515,-1.35549,-1.00236,0.744151,6.96817,-2.35818,-2.147,10.9194,-92.6515,-5.56576
-870.315,0.999796,0.00631489,6,63,0,1011.54,-1.80025,0.391763,-1.32871,-1.18194,-0.726229,0.158881,0.181367,-0.668909,-2.02212,0.874497,1.37347,2.29509,-1.61572,-5.07884,1.26528,0.868608,1.39001,-0.915715,-0.751485,0.82483,0.829946,-6.23292,14.3745,1.23187,-1.24577,8.8718,-5.26391,-2.68654,-0.930959,8.95337,-1.26864,-9.32014,-2.22142,19.1998,-38.3941,-4.2005
-768.594,0.999908,0.00459429,7,127,0,877.7,-1.29871,0.208481,-1.49446,-0.561553,-0.872323,-0.247672,0.446645,-0.161377,-2.43579,-1.22164,3.45434,2.94258,3.85455,-0.423096,1.14175,1.902,-0.258238,-1.31266,0.327273,2.27626,-0.422507,-8.47572,9.12691,5.98831,2.79247,0.321084,-6.56848,0.405811,-0.441232,1.40542,5.62959,-1.41985,-3.24454,10.0604,-5.8131,-29.0676
-738.568,0.999936,0.00374431,8,255,0,776.835,-0.790384,-0.62386,-0.0108456,-2.06335,-0.822101,-0.361152,-1.80687,0.388562,-0.843856,-1.86466,4.64558,6.77568,-0.977644,1.07509,-3.77171,1.67035,-0.18197,0.996901,2.85539,-0.774407,-2.73887,1.47786,-2.74999,-5.51162,32.8647,-0.0321656,-1.9049,-1.07995,-0.280194,2.0154,-0.0813978,0.754426,-0.319876,-7.94425,-0.628009,4.89023
-733.598,0.999986,0.00329459,9,511,0,741.907,-1.15064,-0.403341,1.71422,-1.08253,-0.203871,-2.53827,-0.29746,-0.233206,-0.115002,-0.660879,4.86096,3.8654,-2.3556,-0.0550502,1.49186,1.1037,-0.131085,0.318458,2.44139,-0.567253,-0.191276,-0.0636839,1.03263,0.337352,-24.0444,-2.03674,1.07049,-1.65087,0.96169,-7.74128,-3.0214,-2.99632,0.432685,14.0477,-0.73937,-6.58552
-729.034,0.999987,0.00305866,9,511,0,742.121,-0.877138,0.29992,1.33529,-0.704608,0.194149,-1.92953,-1.67836,0.739336,0.0171823,-1.64657,4.52961,5.28179,1.40454,0.872064,-0.622235,0.429978,0.347863,1.90757,-1.17541,1.467,-0.0804744,-2.32969,-0.223075,3.17682,17.0012,1.34903,-0.373115,0.896817,0.941774,-0.948877,-2.15458,1.21281,0.794841,-4.4866,-1.13593,0.636739
-729.979,0.999983,0.00295046,10,1023,0,734.396,-1.00976,-1.58988,2.07429,-0.393028,-1.81102,-0.116101,-0.670257,0.118158,-0.34332,-1.83691,5.84654,4.99694,0.814837,0.0305552,-0.556604,-0.892175,-1.42388,0.896247,-1.03765,-0.729981,-1.00004,0.95276,-0.139821,-0.833251,16.4026,-2.0283,0.537687,0.802957,-1.49417,1.63298,0.796582,-0.192759,-0.0121813,-5.71155,1.39108,-0.888221
