# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1168160790
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/start/IgA_S_Serum_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/start/IgA_S_Serum_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,z_a.1,z_a.2,z_a.3,z_a.4,z_a.5,z_e.1,z_e.2,z_e.3,z_e.4,z_g.1,z_g.2,z_s.1,z_s.2,sigma_a_1,sigma_g_1,sigma_e_1,sigma_s_1,a,sigma,p_z_a.1,p_z_a.2,p_z_a.3,p_z_a.4,p_z_a.5,p_z_e.1,p_z_e.2,p_z_e.3,p_z_e.4,p_z_g.1,p_z_g.2,p_z_s.1,p_z_s.2,p_sigma_a_1,p_sigma_g_1,p_sigma_e_1,p_sigma_s_1,p_a,p_sigma,g_z_a.1,g_z_a.2,g_z_a.3,g_z_a.4,g_z_a.5,g_z_e.1,g_z_e.2,g_z_e.3,g_z_e.4,g_z_g.1,g_z_g.2,g_z_s.1,g_z_s.2,g_sigma_a_1,g_sigma_g_1,g_sigma_e_1,g_sigma_s_1,g_a,g_sigma
-544.648,0.666667,0.125,1,3,1,1080.07,-0.187946,0.872012,0.548773,-0.611685,-0.853463,-1.22941,-0.48409,-0.296875,1.62941,1.48828,0.118401,0.271359,0.353236,-0.599804,-1.27329,-0.647452,-0.755327,-1.12455,-0.400554,6.15634,-10.3968,-3.47344,17.184,6.28992,4.53225,0.42986,4.48734,-3.48565,11.0822,2.68295,-0.822802,7.11245,-7.11476,0.83964,-8.83322,3.20568,10.8477,-9.29215,-38.8195,57.8689,26.155,-111.416,-55.0694,-426.84,-3.95637,-7.81507,19.101,265.801,-10.3166,-16.6463,-14.0716,77.7367,-81.0619,180.072,-37.7935,-116.736,-1.11074
-544.648,0,5.46488,0,1,1,550.242,-0.187946,0.872012,0.548773,-0.611685,-0.853463,-1.22941,-0.48409,-0.296875,1.62941,1.48828,0.118401,0.271359,0.353236,-0.599804,-1.27329,-0.647452,-0.755327,-1.12455,-0.400554,0.297969,-0.391888,-0.779922,-0.7031,0.74749,-0.0543008,-0.281373,1.01985,0.372288,-0.0579846,0.774002,1.71244,-0.801321,0.750393,0.0933908,-0.66438,-0.935848,-0.747726,1.18244,-38.8195,57.8689,26.155,-111.416,-55.0694,-426.84,-3.95637,-7.81507,19.101,265.801,-10.3166,-16.6463,-14.0716,77.7367,-81.0619,180.072,-37.7935,-116.736,-1.11074
-544.648,0,0.433702,0,1,1,550.24,-0.187946,0.872012,0.548773,-0.611685,-0.853463,-1.22941,-0.48409,-0.296875,1.62941,1.48828,0.118401,0.271359,0.353236,-0.599804,-1.27329,-0.647452,-0.755327,-1.12455,-0.400554,-0.117085,-0.891133,-0.021276,-1.04673,-0.479546,-1.06951,0.889284,-0.769906,1.36071,-0.610379,0.814455,0.968438,-0.00892897,-0.332009,-0.323558,-1.45962,-0.450039,0.111993,-0.369277,-38.8195,57.8689,26.155,-111.416,-55.0694,-426.84,-3.95637,-7.81507,19.101,265.801,-10.3166,-16.6463,-14.0716,77.7367,-81.0619,180.072,-37.7935,-116.736,-1.11074
0.129934,1,0.0200999,3,7,0,546.756,-0.179834,0.567278,0.580204,-0.211933,-0.793254,-0.0871866,-0.636439,-0.172463,1.60079,0.663916,0.271853,0.234659,0.408493,-0.854182,-1.1518,-1.00094,-0.748739,-0.809021,-0.72342,-0.863309,6.52215,1.88755,-7.36805,-2.57385,-20.7616,1.70149,-1.74966,1.11666,19.0897,-1.68874,1.02224,1.80035,5.84149,-2.01969,6.39993,-0.2854,-5.60894,8.09362,-3.03905,74.3608,73.2075,-23.3076,-37.2707,23.3073,-5.33664,-3.66344,18.7082,180.65,17.8858,40.1368,114.291,58.9024,26.0917,11.6779,22.8179,31.835,116.714
132.998,1,0.0128726,3,7,0,5.12549,-0.0683518,0.311681,0.381678,-0.112364,-0.656692,-0.0841003,-0.788549,-0.147318,1.55214,0.166815,0.149697,0.121821,0.177796,-1.10584,-1.15108,-1.02,-0.824541,-0.814035,-1.05982,1.87709,-4.94012,-4.26461,2.88425,3.43409,2.12242,-1.62214,0.648939,-1.3781,-8.73537,-1.69048,-1.33351,-4.03053,-4.72377,0.196033,-1.12691,-0.756068,2.56258,-8.52147,-18.6775,20.2441,22.5331,-56.5096,-49.5991,-117.192,-12.384,-13.04,20.6073,-40.2357,-8.87132,-38.0126,-48.6314,27.8583,-15.7992,33.3301,-20.4904,-158.093,55.0124
230.844,0.930619,0.00966578,5,31,0,-125.96,-0.240085,-0.179866,-0.1758,0.315963,-0.250491,0.0571784,-0.798672,0.0270083,1.30424,-0.110822,0.131225,0.177486,0.126654,-1.58696,-1.10342,-1.44905,-0.724964,-0.395798,-1.65535,0.446761,4.28102,3.99449,-2.98878,-5.40932,-1.53123,-1.1889,-1.90282,3.46792,-2.18404,1.35385,1.85199,-1.09953,3.90856,0.437909,5.21648,-0.752174,-7.66567,2.10622,8.6293,10.3735,-1.79403,32.4416,-20.7698,70.3845,-15.107,-6.40416,23.7942,22.8818,37.3773,94.1057,57.4919,-3.98814,-1.78851,31.9979,17.672,175.78,-91.7871
252.341,1,0.00650084,6,63,0,-222.223,-0.276362,-0.234046,-0.108696,0.140354,0.314871,-0.102289,-0.280679,0.025063,1.24046,0.188326,0.0428764,-0.0598287,0.0246837,-1.60574,-1.21677,-1.74539,-0.764031,-0.455764,-1.45749,0.605593,0.729565,1.50248,-1.92973,3.91093,1.09468,3.82565,0.544785,-1.59285,0.747842,-0.242583,-0.00922345,-1.32144,0.146669,-0.56301,-2.76134,-0.288283,1.53128,-2.57646,-14.401,-20.22,-14.9125,-6.55464,0.853044,-49.3597,-5.8402,-7.67943,11.9988,7.19542,-20.4382,-43.9739,-45.6219,-2.81836,-7.90682,8.41852,0.509732,-111.585,48.0338
264.053,0.998867,0.00577376,8,255,0,-243.627,0.00477962,0.0651788,-0.0185768,0.122759,0.0518984,-0.0630476,0.723635,0.215246,-1.14657,-0.12722,0.102449,0.0158535,-0.00600092,-0.794072,-1.4563,-4.07396,-0.935302,-0.380372,-1.56713,0.257972,2.47986,-0.728932,-1.31475,1.24237,-1.12733,-0.751469,1.81369,2.39624,1.78793,1.15459,1.4695,1.38084,-0.867259,0.5129,2.03444,-0.0435731,1.45742,2.02189,32.6762,31.7996,-19.9977,-22.6352,-25.4103,-14.9242,3.28745,2.43594,-6.72168,-38.6538,8.24275,10.7928,-24.1589,-3.39922,1.00674,-1.53657,-0.322708,-2.50474,5.16391
265.787,0.99679,0.00537049,8,511,0,-254.251,-0.158765,-0.216998,0.0487289,0.307699,0.290577,0.0244792,-0.878968,-0.159572,0.603272,-0.0385887,0.129241,0.0503501,0.0646573,-1.43378,-1.02304,-2.84789,-3.13248,-0.39321,-1.63558,-0.129891,-0.896645,-2.16033,0.00914586,1.31443,-0.876462,-0.275183,0.345154,-2.22409,1.05439,-0.954266,0.758998,-0.51768,-0.147034,-0.77074,-1.40335,1.79627,0.986797,-0.54404,1.16334,-21.2346,4.1228,13.9261,0.240799,6.61977,-6.29687,-4.83791,4.55596,-29.8446,10.6812,5.67272,7.84502,-4.49253,0.737791,1.72899,-1.10101,-13.3877,-22.5062
271.831,0.99841,0.00514245,8,255,0,-253.467,-0.0920327,0.0765262,0.0490179,0.115455,0.258824,-0.0382602,-0.734834,-0.0782777,-0.275341,0.0756322,0.011463,0.00485026,-0.0327958,-0.673049,-0.300196,-2.79553,-2.80935,-0.494748,-1.62646,-0.26615,2.38037,-1.31011,-2.07318,1.44439,-0.465563,2.24181,2.45383,-1.87118,1.30663,-0.753114,1.22547,-0.875895,1.03527,0.99078,-0.549318,0.845105,-0.527187,0.484833,-3.70976,31.2169,-5.70855,-28.4063,1.68387,-6.56613,-5.63856,-4.81928,-1.17862,44.4073,-59.616,1.9619,-9.41786,-4.38094,1.18522,0.56705,-0.799067,-24.9438,-22.8418
