# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = start_model
# method = sample (Default)
#   sample
#     num_samples = 10
#     num_warmup = 5
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = /var/folders/yz/4lf5f4ws1sd6l1jd4wb8hxth0000gn/T/RtmpuCG2N5/standata-695c5f8fe5b.json
# init = 2 (Default)
# random
#   seed = 119935258
# output
#   file = /Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/hero-study/include/start/IgG_S/start-202103091711-3-0c22aa.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.1
# stancflags = --name=start_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,z_a.1,z_a.2,z_a.3,z_a.4,z_a.5,z_e.1,z_e.2,z_e.3,z_e.4,z_g.1,z_g.2,z_s.1,z_s.2,sigma_a_1,sigma_g_1,sigma_e_1,sigma_s_1,a,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,mu.77,mu.78,mu.79,mu.80,mu.81,mu.82,mu.83,mu.84,mu.85,mu.86,mu.87,mu.88,mu.89,mu.90,mu.91,mu.92,mu.93,mu.94,mu.95,mu.96,mu.97,mu.98,mu.99,mu.100,mu.101,mu.102,mu.103,mu.104,mu.105,mu.106,mu.107,mu.108,mu.109,mu.110,mu.111,mu.112,mu.113,mu.114,mu.115,mu.116,mu.117,mu.118,mu.119,mu.120,mu.121,mu.122,mu.123,mu.124,mu.125,mu.126,mu.127,mu.128,mu.129,mu.130,mu.131,mu.132,mu.133,mu.134,mu.135,mu.136,mu.137,mu.138,mu.139,mu.140,mu.141,mu.142,mu.143,mu.144,mu.145,mu.146,mu.147,mu.148,mu.149,mu.150,mu.151,mu.152,mu.153,mu.154,mu.155,mu.156,mu.157,mu.158,mu.159,mu.160,mu.161,mu.162,mu.163,mu.164,mu.165,mu.166,mu.167,mu.168,mu.169,mu.170,mu.171,mu.172,mu.173,mu.174,mu.175,mu.176,mu.177,mu.178,mu.179,mu.180,mu.181,mu.182,mu.183,mu.184,mu.185,mu.186,mu.187,mu.188,mu.189,mu.190,mu.191,mu.192,mu.193,mu.194,mu.195,mu.196,mu.197,mu.198,mu.199,mu.200,mu.201,mu.202,mu.203,mu.204,mu.205,mu.206,mu.207,mu.208,mu.209,mu.210,mu.211,mu.212,mu.213,mu.214,mu.215,mu.216,mu.217,mu.218,mu.219,mu.220,mu.221,mu.222,mu.223,mu.224,mu.225,mu.226,mu.227,mu.228,mu.229,mu.230,mu.231,mu.232,mu.233,mu.234,mu.235,mu.236,mu.237,mu.238,mu.239,mu.240,mu.241,mu.242,mu.243,mu.244,mu.245,mu.246,mu.247,mu.248,mu.249,mu.250,mu.251,mu.252,mu.253,mu.254,mu.255,mu.256,mu.257,mu.258,mu.259,mu.260,mu.261,mu.262,mu.263,mu.264,marginal_i,marginal_e_i.1,marginal_e_i.2,marginal_e_i.3,marginal_e_i.4,marginal_g_i.1,marginal_g_i.2,marginal_a_i.1,marginal_a_i.2,marginal_a_i.3,marginal_a_i.4,marginal_a_i.5,marginal_s_i.1,marginal_s_i.2
# Adaptation terminated
# Step size = 0.0970051
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-650.983,0.000304683,0.0970051,2,4,1,658.584,0.911231,0.173281,0.262572,0.533384,-0.647833,0.0172124,0.283496,1.48284,1.14677,0.106924,-0.65838,-0.0324476,0.0837438,5.65212,1.27691,0.799212,0.209416,0.610027,5.64208,3.76827,1.28472,3.79261,4.00542,-2.90811,3.79261,-3.861,0.780036,1.75726,2.26194,1.75726,1.75726,2.23761,2.79105,2.26194,0.755703,2.23761,1.28472,3.76827,5.90391,3.76827,0.755703,-2.88378,3.79261,-2.88378,5.92824,5.90391,-2.90811,3.79261,0.780036,1.73293,3.76827,3.76827,1.75726,2.43173,2.26194,2.26194,6.14106,2.23761,2.23761,5.90391,2.23761,3.76827,1.75726,0.780036,-2.88378,3.40895,3.76827,5.90391,5.92824,7.07525,3.76827,3.76827,1.75726,1.73293,5.90391,-2.90811,1.73293,2.23761,2.26194,3.79261,0.755703,-2.88378,5.90391,2.26194,3.76827,2.23761,5.92824,-3.88533,3.79261,3.14036,2.26194,1.75726,2.81538,2.23761,2.26194,1.75726,3.79261,6.12236,5.90391,1.75726,3.79261,3.79261,2.23761,3.76827,2.26194,2.23761,2.23761,1.73293,2.26194,1.75726,3.79261,5.90391,1.75726,5.92824,1.73293,3.76827,3.79261,2.26194,5.90391,6.12236,3.79261,1.75726,5.92824,3.76827,3.76827,3.79261,-3.861,-2.88378,7.07525,3.79261,2.26194,4.95102,5.92824,3.76827,5.92824,2.23761,1.75726,1.75726,1.73293,5.92824,1.75726,3.79261,3.98673,1.75726,-1.71243,0.780036,-3.861,2.26194,5.90391,1.75726,3.76827,1.73293,3.79261,5.90391,-2.88378,3.79261,2.26194,3.79261,1.75726,0.780036,0.780036,3.76827,3.79261,2.26194,5.90391,3.76827,5.92824,3.79261,2.26194,1.75726,3.79261,1.95138,1.28472,5.92824,-3.88533,3.79261,2.26194,2.45606,1.4732,1.75726,5.92824,1.95138,4.95102,3.79261,2.81538,3.79261,2.26194,2.23761,0.780036,1.73293,5.90391,5.92824,-2.88378,2.26194,-2.90811,2.26194,5.90391,1.28472,1.28472,1.75726,1.68279,5.92824,4.92669,3.79261,1.73293,5.92824,2.23761,2.81538,-2.88378,1.28472,-2.90811,2.26194,2.23761,3.79261,1.75726,1.75726,3.79261,0.780036,4.95102,5.90391,1.75726,2.26194,1.75726,2.26194,3.79261,3.79261,-3.861,5.92824,1.75726,5.90391,2.26194,1.75726,1.65846,1.75726,1.73293,1.94574,5.92824,1.95138,5.90391,4.92669,1.73293,-2.90811,2.18747,2.26194,2.45606,5.92824,3.79261,3.79261,4.95102,3.76827,2.23761,3.76827,-3.861,-2.90811,3.76827,2.26194,2.23761,2.43173,5.90391,-2.90811,-2.88378,2.63568,3.79261,5.92824,1.28472,3.76827,3.76827,2.23761,3.79261,1.75726,2.23761,0.755703,5.92824,3.76827,3.79261,5.92824,3.79261,1.75726,3.1647,6.11673,3.79261,3.79261,5.90391,26.4896,25.6229,27.7511,37.3364,34.6505,28.3404,18.5682,58.2052,16.4953,21.5422,36.8488,-29.915,26.3394,26.5827
-607.682,0.281455,0.0970051,1,3,1,663.374,0.82335,0.529291,0.420462,0.425261,-0.49961,0.0751468,0.0903464,1.49459,0.907797,0.197887,-0.33404,0.0801178,0.089715,5.67051,1.32007,0.718264,0.214591,0.637662,5.15747,3.3815,2.65417,3.38356,3.39448,-1.86299,3.38356,-2.56311,3.27128,3.97346,3.35635,3.97346,3.97346,3.35429,2.67932,3.35635,3.26922,3.35429,2.65417,3.3815,5.63887,3.3815,3.26922,-1.86093,3.38356,-1.86093,5.64093,5.63887,-1.86299,3.38356,3.27128,3.9714,3.3815,3.3815,3.97346,3.67164,3.35635,3.35635,5.65185,3.35429,3.35429,5.63887,3.35429,3.3815,3.97346,3.27128,-1.86093,4.37382,3.3815,5.63887,5.64093,6.65841,3.3815,3.3815,3.97346,3.9714,5.63887,-1.86299,3.9714,3.35429,3.35635,3.38356,3.26922,-1.86093,5.63887,3.35635,3.3815,3.35429,5.64093,-2.56517,3.38356,3.95235,3.35635,3.97346,2.68138,3.35429,3.35635,3.97346,3.38356,5.95828,5.63887,3.97346,3.38356,3.38356,3.35429,3.3815,3.35635,3.35429,3.35429,3.9714,3.35635,3.97346,3.38356,5.63887,3.97346,5.64093,3.9714,3.3815,3.38356,3.35635,5.63887,5.95828,3.38356,3.97346,5.64093,3.3815,3.3815,3.38356,-2.56311,-1.86093,6.65841,3.38356,3.35635,4.93875,5.64093,3.3815,5.64093,3.35429,3.97346,3.97346,3.9714,5.64093,3.97346,3.38356,3.70091,3.97346,-0.8414,3.27128,-2.56311,3.35635,5.63887,3.97346,3.3815,3.9714,3.38356,5.63887,-1.86093,3.38356,3.35635,3.38356,3.97346,3.27128,3.27128,3.3815,3.38356,3.35635,5.63887,3.3815,5.64093,3.38356,3.35635,3.97346,3.38356,4.29082,2.65417,5.64093,-2.56517,3.38356,3.35635,3.6737,2.66303,3.97346,5.64093,4.29082,4.93875,3.38356,2.68138,3.38356,3.35635,3.35429,3.27128,3.9714,5.63887,5.64093,-1.86093,3.35635,-1.86299,3.35635,5.63887,2.65417,2.65417,3.97346,3.86935,5.64093,4.93669,3.38356,3.9714,5.64093,3.35429,2.68138,-1.86093,2.65417,-1.86299,3.35635,3.35429,3.38356,3.97346,3.97346,3.38356,3.27128,4.93875,5.63887,3.97346,3.35635,3.97346,3.35635,3.38356,3.38356,-2.56311,5.64093,3.97346,5.63887,3.35635,3.97346,3.86729,3.97346,3.9714,3.98232,5.64093,4.29082,5.63887,4.93669,3.9714,-1.86299,3.25223,3.35635,3.6737,5.64093,3.38356,3.38356,4.93875,3.3815,3.35429,3.3815,-2.56311,-1.86299,3.3815,3.35635,3.35429,3.67164,5.63887,-1.86299,-1.86093,4.56947,3.38356,5.64093,2.65417,3.3815,3.3815,3.35429,3.38356,3.97346,3.35429,3.26922,5.64093,3.3815,3.38356,5.64093,3.38356,3.97346,3.95441,5.64979,3.38356,3.38356,5.63887,33.8488,33.1701,33.2793,43.3654,39.1507,35.1787,28.1569,55.7502,39.0755,32.9044,33.1765,-19.2684,33.8361,33.8566
-607.682,8.5197e-24,0.0970051,1,2,1,621.176,0.82335,0.529291,0.420462,0.425261,-0.49961,0.0751468,0.0903464,1.49459,0.907797,0.197887,-0.33404,0.0801178,0.089715,5.67051,1.32007,0.718264,0.214591,0.637662,5.15747,3.3815,2.65417,3.38356,3.39448,-1.86299,3.38356,-2.56311,3.27128,3.97346,3.35635,3.97346,3.97346,3.35429,2.67932,3.35635,3.26922,3.35429,2.65417,3.3815,5.63887,3.3815,3.26922,-1.86093,3.38356,-1.86093,5.64093,5.63887,-1.86299,3.38356,3.27128,3.9714,3.3815,3.3815,3.97346,3.67164,3.35635,3.35635,5.65185,3.35429,3.35429,5.63887,3.35429,3.3815,3.97346,3.27128,-1.86093,4.37382,3.3815,5.63887,5.64093,6.65841,3.3815,3.3815,3.97346,3.9714,5.63887,-1.86299,3.9714,3.35429,3.35635,3.38356,3.26922,-1.86093,5.63887,3.35635,3.3815,3.35429,5.64093,-2.56517,3.38356,3.95235,3.35635,3.97346,2.68138,3.35429,3.35635,3.97346,3.38356,5.95828,5.63887,3.97346,3.38356,3.38356,3.35429,3.3815,3.35635,3.35429,3.35429,3.9714,3.35635,3.97346,3.38356,5.63887,3.97346,5.64093,3.9714,3.3815,3.38356,3.35635,5.63887,5.95828,3.38356,3.97346,5.64093,3.3815,3.3815,3.38356,-2.56311,-1.86093,6.65841,3.38356,3.35635,4.93875,5.64093,3.3815,5.64093,3.35429,3.97346,3.97346,3.9714,5.64093,3.97346,3.38356,3.70091,3.97346,-0.8414,3.27128,-2.56311,3.35635,5.63887,3.97346,3.3815,3.9714,3.38356,5.63887,-1.86093,3.38356,3.35635,3.38356,3.97346,3.27128,3.27128,3.3815,3.38356,3.35635,5.63887,3.3815,5.64093,3.38356,3.35635,3.97346,3.38356,4.29082,2.65417,5.64093,-2.56517,3.38356,3.35635,3.6737,2.66303,3.97346,5.64093,4.29082,4.93875,3.38356,2.68138,3.38356,3.35635,3.35429,3.27128,3.9714,5.63887,5.64093,-1.86093,3.35635,-1.86299,3.35635,5.63887,2.65417,2.65417,3.97346,3.86935,5.64093,4.93669,3.38356,3.9714,5.64093,3.35429,2.68138,-1.86093,2.65417,-1.86299,3.35635,3.35429,3.38356,3.97346,3.97346,3.38356,3.27128,4.93875,5.63887,3.97346,3.35635,3.97346,3.35635,3.38356,3.38356,-2.56311,5.64093,3.97346,5.63887,3.35635,3.97346,3.86729,3.97346,3.9714,3.98232,5.64093,4.29082,5.63887,4.93669,3.9714,-1.86299,3.25223,3.35635,3.6737,5.64093,3.38356,3.38356,4.93875,3.3815,3.35429,3.3815,-2.56311,-1.86299,3.3815,3.35635,3.35429,3.67164,5.63887,-1.86299,-1.86093,4.56947,3.38356,5.64093,2.65417,3.3815,3.3815,3.35429,3.38356,3.97346,3.35429,3.26922,5.64093,3.3815,3.38356,5.64093,3.38356,3.97346,3.95441,5.64979,3.38356,3.38356,5.63887,33.8488,33.1701,33.2793,43.3654,39.1507,35.1787,28.1569,55.7502,39.0755,32.9044,33.1765,-19.2684,33.8361,33.8566
-607.682,6.43761e-06,0.0970051,1,3,1,619.462,0.82335,0.529291,0.420462,0.425261,-0.49961,0.0751468,0.0903464,1.49459,0.907797,0.197887,-0.33404,0.0801178,0.089715,5.67051,1.32007,0.718264,0.214591,0.637662,5.15747,3.3815,2.65417,3.38356,3.39448,-1.86299,3.38356,-2.56311,3.27128,3.97346,3.35635,3.97346,3.97346,3.35429,2.67932,3.35635,3.26922,3.35429,2.65417,3.3815,5.63887,3.3815,3.26922,-1.86093,3.38356,-1.86093,5.64093,5.63887,-1.86299,3.38356,3.27128,3.9714,3.3815,3.3815,3.97346,3.67164,3.35635,3.35635,5.65185,3.35429,3.35429,5.63887,3.35429,3.3815,3.97346,3.27128,-1.86093,4.37382,3.3815,5.63887,5.64093,6.65841,3.3815,3.3815,3.97346,3.9714,5.63887,-1.86299,3.9714,3.35429,3.35635,3.38356,3.26922,-1.86093,5.63887,3.35635,3.3815,3.35429,5.64093,-2.56517,3.38356,3.95235,3.35635,3.97346,2.68138,3.35429,3.35635,3.97346,3.38356,5.95828,5.63887,3.97346,3.38356,3.38356,3.35429,3.3815,3.35635,3.35429,3.35429,3.9714,3.35635,3.97346,3.38356,5.63887,3.97346,5.64093,3.9714,3.3815,3.38356,3.35635,5.63887,5.95828,3.38356,3.97346,5.64093,3.3815,3.3815,3.38356,-2.56311,-1.86093,6.65841,3.38356,3.35635,4.93875,5.64093,3.3815,5.64093,3.35429,3.97346,3.97346,3.9714,5.64093,3.97346,3.38356,3.70091,3.97346,-0.8414,3.27128,-2.56311,3.35635,5.63887,3.97346,3.3815,3.9714,3.38356,5.63887,-1.86093,3.38356,3.35635,3.38356,3.97346,3.27128,3.27128,3.3815,3.38356,3.35635,5.63887,3.3815,5.64093,3.38356,3.35635,3.97346,3.38356,4.29082,2.65417,5.64093,-2.56517,3.38356,3.35635,3.6737,2.66303,3.97346,5.64093,4.29082,4.93875,3.38356,2.68138,3.38356,3.35635,3.35429,3.27128,3.9714,5.63887,5.64093,-1.86093,3.35635,-1.86299,3.35635,5.63887,2.65417,2.65417,3.97346,3.86935,5.64093,4.93669,3.38356,3.9714,5.64093,3.35429,2.68138,-1.86093,2.65417,-1.86299,3.35635,3.35429,3.38356,3.97346,3.97346,3.38356,3.27128,4.93875,5.63887,3.97346,3.35635,3.97346,3.35635,3.38356,3.38356,-2.56311,5.64093,3.97346,5.63887,3.35635,3.97346,3.86729,3.97346,3.9714,3.98232,5.64093,4.29082,5.63887,4.93669,3.9714,-1.86299,3.25223,3.35635,3.6737,5.64093,3.38356,3.38356,4.93875,3.3815,3.35429,3.3815,-2.56311,-1.86299,3.3815,3.35635,3.35429,3.67164,5.63887,-1.86299,-1.86093,4.56947,3.38356,5.64093,2.65417,3.3815,3.3815,3.35429,3.38356,3.97346,3.35429,3.26922,5.64093,3.3815,3.38356,5.64093,3.38356,3.97346,3.95441,5.64979,3.38356,3.38356,5.63887,33.8488,33.1701,33.2793,43.3654,39.1507,35.1787,28.1569,55.7502,39.0755,32.9044,33.1765,-19.2684,33.8361,33.8566
-607.682,1.95594e-36,0.0970051,1,2,1,621.853,0.82335,0.529291,0.420462,0.425261,-0.49961,0.0751468,0.0903464,1.49459,0.907797,0.197887,-0.33404,0.0801178,0.089715,5.67051,1.32007,0.718264,0.214591,0.637662,5.15747,3.3815,2.65417,3.38356,3.39448,-1.86299,3.38356,-2.56311,3.27128,3.97346,3.35635,3.97346,3.97346,3.35429,2.67932,3.35635,3.26922,3.35429,2.65417,3.3815,5.63887,3.3815,3.26922,-1.86093,3.38356,-1.86093,5.64093,5.63887,-1.86299,3.38356,3.27128,3.9714,3.3815,3.3815,3.97346,3.67164,3.35635,3.35635,5.65185,3.35429,3.35429,5.63887,3.35429,3.3815,3.97346,3.27128,-1.86093,4.37382,3.3815,5.63887,5.64093,6.65841,3.3815,3.3815,3.97346,3.9714,5.63887,-1.86299,3.9714,3.35429,3.35635,3.38356,3.26922,-1.86093,5.63887,3.35635,3.3815,3.35429,5.64093,-2.56517,3.38356,3.95235,3.35635,3.97346,2.68138,3.35429,3.35635,3.97346,3.38356,5.95828,5.63887,3.97346,3.38356,3.38356,3.35429,3.3815,3.35635,3.35429,3.35429,3.9714,3.35635,3.97346,3.38356,5.63887,3.97346,5.64093,3.9714,3.3815,3.38356,3.35635,5.63887,5.95828,3.38356,3.97346,5.64093,3.3815,3.3815,3.38356,-2.56311,-1.86093,6.65841,3.38356,3.35635,4.93875,5.64093,3.3815,5.64093,3.35429,3.97346,3.97346,3.9714,5.64093,3.97346,3.38356,3.70091,3.97346,-0.8414,3.27128,-2.56311,3.35635,5.63887,3.97346,3.3815,3.9714,3.38356,5.63887,-1.86093,3.38356,3.35635,3.38356,3.97346,3.27128,3.27128,3.3815,3.38356,3.35635,5.63887,3.3815,5.64093,3.38356,3.35635,3.97346,3.38356,4.29082,2.65417,5.64093,-2.56517,3.38356,3.35635,3.6737,2.66303,3.97346,5.64093,4.29082,4.93875,3.38356,2.68138,3.38356,3.35635,3.35429,3.27128,3.9714,5.63887,5.64093,-1.86093,3.35635,-1.86299,3.35635,5.63887,2.65417,2.65417,3.97346,3.86935,5.64093,4.93669,3.38356,3.9714,5.64093,3.35429,2.68138,-1.86093,2.65417,-1.86299,3.35635,3.35429,3.38356,3.97346,3.97346,3.38356,3.27128,4.93875,5.63887,3.97346,3.35635,3.97346,3.35635,3.38356,3.38356,-2.56311,5.64093,3.97346,5.63887,3.35635,3.97346,3.86729,3.97346,3.9714,3.98232,5.64093,4.29082,5.63887,4.93669,3.9714,-1.86299,3.25223,3.35635,3.6737,5.64093,3.38356,3.38356,4.93875,3.3815,3.35429,3.3815,-2.56311,-1.86299,3.3815,3.35635,3.35429,3.67164,5.63887,-1.86299,-1.86093,4.56947,3.38356,5.64093,2.65417,3.3815,3.3815,3.35429,3.38356,3.97346,3.35429,3.26922,5.64093,3.3815,3.38356,5.64093,3.38356,3.97346,3.95441,5.64979,3.38356,3.38356,5.63887,33.8488,33.1701,33.2793,43.3654,39.1507,35.1787,28.1569,55.7502,39.0755,32.9044,33.1765,-19.2684,33.8361,33.8566
-607.682,1.83995e-08,0.0970051,1,3,1,615.53,0.82335,0.529291,0.420462,0.425261,-0.49961,0.0751468,0.0903464,1.49459,0.907797,0.197887,-0.33404,0.0801178,0.089715,5.67051,1.32007,0.718264,0.214591,0.637662,5.15747,3.3815,2.65417,3.38356,3.39448,-1.86299,3.38356,-2.56311,3.27128,3.97346,3.35635,3.97346,3.97346,3.35429,2.67932,3.35635,3.26922,3.35429,2.65417,3.3815,5.63887,3.3815,3.26922,-1.86093,3.38356,-1.86093,5.64093,5.63887,-1.86299,3.38356,3.27128,3.9714,3.3815,3.3815,3.97346,3.67164,3.35635,3.35635,5.65185,3.35429,3.35429,5.63887,3.35429,3.3815,3.97346,3.27128,-1.86093,4.37382,3.3815,5.63887,5.64093,6.65841,3.3815,3.3815,3.97346,3.9714,5.63887,-1.86299,3.9714,3.35429,3.35635,3.38356,3.26922,-1.86093,5.63887,3.35635,3.3815,3.35429,5.64093,-2.56517,3.38356,3.95235,3.35635,3.97346,2.68138,3.35429,3.35635,3.97346,3.38356,5.95828,5.63887,3.97346,3.38356,3.38356,3.35429,3.3815,3.35635,3.35429,3.35429,3.9714,3.35635,3.97346,3.38356,5.63887,3.97346,5.64093,3.9714,3.3815,3.38356,3.35635,5.63887,5.95828,3.38356,3.97346,5.64093,3.3815,3.3815,3.38356,-2.56311,-1.86093,6.65841,3.38356,3.35635,4.93875,5.64093,3.3815,5.64093,3.35429,3.97346,3.97346,3.9714,5.64093,3.97346,3.38356,3.70091,3.97346,-0.8414,3.27128,-2.56311,3.35635,5.63887,3.97346,3.3815,3.9714,3.38356,5.63887,-1.86093,3.38356,3.35635,3.38356,3.97346,3.27128,3.27128,3.3815,3.38356,3.35635,5.63887,3.3815,5.64093,3.38356,3.35635,3.97346,3.38356,4.29082,2.65417,5.64093,-2.56517,3.38356,3.35635,3.6737,2.66303,3.97346,5.64093,4.29082,4.93875,3.38356,2.68138,3.38356,3.35635,3.35429,3.27128,3.9714,5.63887,5.64093,-1.86093,3.35635,-1.86299,3.35635,5.63887,2.65417,2.65417,3.97346,3.86935,5.64093,4.93669,3.38356,3.9714,5.64093,3.35429,2.68138,-1.86093,2.65417,-1.86299,3.35635,3.35429,3.38356,3.97346,3.97346,3.38356,3.27128,4.93875,5.63887,3.97346,3.35635,3.97346,3.35635,3.38356,3.38356,-2.56311,5.64093,3.97346,5.63887,3.35635,3.97346,3.86729,3.97346,3.9714,3.98232,5.64093,4.29082,5.63887,4.93669,3.9714,-1.86299,3.25223,3.35635,3.6737,5.64093,3.38356,3.38356,4.93875,3.3815,3.35429,3.3815,-2.56311,-1.86299,3.3815,3.35635,3.35429,3.67164,5.63887,-1.86299,-1.86093,4.56947,3.38356,5.64093,2.65417,3.3815,3.3815,3.35429,3.38356,3.97346,3.35429,3.26922,5.64093,3.3815,3.38356,5.64093,3.38356,3.97346,3.95441,5.64979,3.38356,3.38356,5.63887,33.8488,33.1701,33.2793,43.3654,39.1507,35.1787,28.1569,55.7502,39.0755,32.9044,33.1765,-19.2684,33.8361,33.8566
