# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=282705322
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/start/IgG_S_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/start/IgG_S_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,z_a.1,z_a.2,z_a.3,z_a.4,z_a.5,z_e.1,z_e.2,z_e.3,z_e.4,z_g.1,z_g.2,z_s.1,z_s.2,sigma_a_1,sigma_g_1,sigma_e_1,sigma_s_1,a,sigma,p_z_a.1,p_z_a.2,p_z_a.3,p_z_a.4,p_z_a.5,p_z_e.1,p_z_e.2,p_z_e.3,p_z_e.4,p_z_g.1,p_z_g.2,p_z_s.1,p_z_s.2,p_sigma_a_1,p_sigma_g_1,p_sigma_e_1,p_sigma_s_1,p_a,p_sigma,g_z_a.1,g_z_a.2,g_z_a.3,g_z_a.4,g_z_a.5,g_z_e.1,g_z_e.2,g_z_e.3,g_z_e.4,g_z_g.1,g_z_g.2,g_z_s.1,g_z_s.2,g_sigma_a_1,g_sigma_g_1,g_sigma_e_1,g_sigma_s_1,g_a,g_sigma
-3530.34,1,0.0078125,1,1,0,7848.26,0.278795,0.681977,-0.774937,1.96989,0.563592,1.26878,1.53443,0.87071,1.298,0.498863,-0.542291,-0.478783,-1.43188,-0.786672,-0.329273,-0.414546,-2.01587,-0.230872,0.100883,-2.29037,-1.45105,-2.16724,0.184413,0.38675,-6.41815,-1.19869,-1.84105,0.503571,-6.48876,-1.93567,-2.30846,-5.1677,-4.56685,-2.48812,-13.1667,2.95051,-11.5073,-90.3213,-77.3876,-64.2096,-169.676,22.893,-37.8343,-307.172,-8.4374,-41.6414,-8.47392,-484.553,-194.427,-98.279,-323.932,-247.082,-204.531,-867.517,152.671,-776.516,-5535.79
-3530.34,0,10.0182,0,1,1,3542.82,0.278795,0.681977,-0.774937,1.96989,0.563592,1.26878,1.53443,0.87071,1.298,0.498863,-0.542291,-0.478783,-1.43188,-0.786672,-0.329273,-0.414546,-2.01587,-0.230872,0.100883,-0.493117,-0.0590617,0.731005,0.420349,-1.27337,-0.387933,0.721187,0.0834422,-2.52931,0.488983,-1.21804,-0.717848,-0.51811,1.09613,-0.158977,3.1837,0.80712,0.357842,0.807366,-77.3876,-64.2096,-169.676,22.893,-37.8343,-307.172,-8.4374,-41.6414,-8.47392,-484.553,-194.427,-98.279,-323.932,-247.082,-204.531,-867.517,152.671,-776.516,-5535.79
-3530.34,0,0.951493,0,1,1,3543.77,0.278795,0.681977,-0.774937,1.96989,0.563592,1.26878,1.53443,0.87071,1.298,0.498863,-0.542291,-0.478783,-1.43188,-0.786672,-0.329273,-0.414546,-2.01587,-0.230872,0.100883,-1.4121,0.156679,1.60314,-1.821,-0.359031,1.59868,0.47088,0.722068,0.429295,-0.221781,-1.47066,-0.922198,0.395983,0.535747,-2.27965,-2.38624,-0.965251,-0.153761,0.00593046,-77.3876,-64.2096,-169.676,22.893,-37.8343,-307.172,-8.4374,-41.6414,-8.47392,-484.553,-194.427,-98.279,-323.932,-247.082,-204.531,-867.517,152.671,-776.516,-5535.79
-3530.34,0,0.0488594,0,1,1,3542.77,0.278795,0.681977,-0.774937,1.96989,0.563592,1.26878,1.53443,0.87071,1.298,0.498863,-0.542291,-0.478783,-1.43188,-0.786672,-0.329273,-0.414546,-2.01587,-0.230872,0.100883,0.689245,0.504562,-1.13821,-0.806519,2.21364,0.87817,-1.46634,1.16623,0.877298,-0.981446,2.0068,1.29951,-0.16854,-1.03166,-1.06401,-0.987928,-0.721754,0.417295,1.28639,-77.3876,-64.2096,-169.676,22.893,-37.8343,-307.172,-8.4374,-41.6414,-8.47392,-484.553,-194.427,-98.279,-323.932,-247.082,-204.531,-867.517,152.671,-776.516,-5535.79
-3261.62,1,0.00191619,2,3,0,3540.36,0.272355,0.675199,-0.779554,1.96558,0.565409,1.27595,1.53015,0.872437,1.29811,0.499212,-0.539578,-0.478971,-1.4269,-0.779476,-0.322737,-0.403677,-2.02207,-0.225342,0.1483,-1.54155,-1.65651,-0.892283,-1.18131,0.540789,2.39293,-1.10244,0.524833,0.0447124,0.954559,1.06226,0.132935,1.90751,2.32062,2.07509,4.41308,-1.89003,2.83517,22.2752,-69.7022,-55.3875,-159.354,32.3586,-33.2298,-253.728,-7.12536,-37.2015,-7.12426,-431.995,-179.707,-93.3028,-314.078,-222.935,-186.855,-798.263,136.934,-699.999,-4972
-2911.29,1,0.00132442,3,7,0,3275.26,0.271156,0.6683,-0.778112,1.97425,0.566332,1.28434,1.53162,0.876109,1.29833,0.520264,-0.536091,-0.471867,-1.43697,-0.776685,-0.319978,-0.384415,-2.01419,-0.220187,0.219104,-0.0582974,-1.17388,0.671946,1.53018,0.252771,2.15325,0.294801,0.783183,0.0561841,5.00137,1.10414,1.57828,-1.08178,1.07237,0.995702,5.61679,1.14954,2.67355,25.4224,-58.3512,-42.773,-144.111,46.7362,-26.7869,-183.173,-5.33258,-31.325,-5.33319,-353.389,-159.177,-86.5981,-305,-192.356,-171.09,-704.941,119.207,-595.807,-4217.96
-2590.02,1,0.00104407,3,7,0,2923.93,0.281418,0.67788,-0.776068,1.96824,0.576038,1.28344,1.53763,0.860091,1.2939,0.531906,-0.532854,-0.481184,-1.42241,-0.778578,-0.324273,-0.376697,-2.00784,-0.211424,0.297774,1.80158,1.64116,0.753218,-1.12704,1.62254,0.313697,0.972982,-2.46847,-0.692032,2.842,0.981511,-1.223,3.25924,0.255301,-0.183883,3.2702,0.669969,3.1066,24.6524,-46.907,-29.659,-129.454,59.1803,-20.3748,-113.411,-3.4466,-25.4492,-3.49397,-279.775,-138.913,-81.9408,-292.457,-164.837,-149.813,-603.486,101.382,-499.497,-3537.39
-2457.4,1,0.000899589,3,7,0,2595.25,0.281847,0.680211,-0.776415,1.96294,0.575076,1.28278,1.5385,0.858516,1.28422,0.53005,-0.532933,-0.477568,-1.42037,-0.781626,-0.323166,-0.374233,-2.01236,-0.204423,0.335226,0.195229,0.578302,0.206503,-1.31662,-0.171286,0.0741017,0.199147,-0.296194,-2.14624,0.183144,0.285116,0.984431,1.10507,-0.322379,0.568378,1.85198,-1.22253,2.63176,15.9439,-42.2044,-24.1409,-123.202,64.3135,-17.7542,-83.6852,-2.65001,-22.8205,-2.76124,-251.697,-130.802,-78.9893,-287.428,-152.181,-138.304,-560.209,93.2302,-459.312,-3254.81
-1164.69,1,0.000824805,7,127,0,2470.41,0.380132,0.551663,-0.676142,1.80652,0.682151,1.14906,1.54193,0.999235,1.20319,0.607039,-0.425888,-0.424268,-1.0176,-0.623046,-0.241269,0.0709468,-2.00268,-0.00154576,2.4408,1.62653,-3.11482,3.38253,-6.02072,1.73386,-8.61303,-0.0922152,2.47187,-1.6826,-0.408051,3.07523,2.34395,13.0285,3.63683,2.16554,10.9312,-0.147639,2.82513,46.206,18.5585,32.1304,-42.3979,120.069,16.5725,266.946,7.5081,13.2733,7.01024,124.933,-22.766,-43.2407,-166.587,-2.60913,-2.60643,-10.0287,0.0304828,149.945,234.908
-1042.92,1,0.000790632,6,63,0,1176.23,0.348149,0.615388,-0.655205,1.73815,0.61799,0.967465,1.52385,1.07528,1.20688,0.530045,-0.454337,-0.37207,-0.945202,-0.636362,-0.256184,0.142923,-2.04595,-0.113191,2.28966,-1.20851,1.17354,1.33617,-4.01429,-2.07818,-9.41275,-0.639697,1.89096,-0.0204889,-4.22104,-0.370927,2.18279,4.91071,-0.320005,-0.368952,2.23177,-1.21866,-5.23302,-8.24973,16.5784,35.5627,-41.5776,115.051,14.7678,219.266,7.32292,14.0202,6.93671,106.332,-24.7384,-38.1185,-155.051,-3.52765,-3.06987,-13.3463,0.259601,93.1284,213.81
