# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=758170905
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/hero-study/include/time/IgA_N_Serum_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/hero-study/include/time/IgA_N_Serum_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,p_a,p_b,p_sigma,g_a,g_b,g_sigma
-386.207,0.666667,0.0625,2,3,0,475.622,1.83022,0.996423,0.766647,6.79411,2.49442,11.2449,157.235,84.106,102.594
-386.207,0,7.84723,0,1,1,386.236,1.83022,0.996423,0.766647,-0.124228,0.189519,-0.0875521,157.235,84.106,102.594
-386.207,0,1.10816,0,1,1,387.582,1.83022,0.996423,0.766647,1.04173,1.04439,-0.758352,157.235,84.106,102.594
-386.207,8.346e-28,0.0986461,1,2,1,387.346,1.83022,0.996423,0.766647,-0.0494282,-0.177966,1.49833,157.235,84.106,102.594
-378.304,0.99036,0.00718679,3,7,0,388.06,1.78222,0.987316,0.769048,3.86682,1.48975,1.52989,151.671,81.2493,116.823
-376.584,0.996151,0.00925296,2,3,0,378.398,1.7769,0.986745,0.761593,1.28223,0.441927,1.33787,152.931,82.1931,115.029
-359.939,0.765861,0.0139721,4,15,0,376.927,1.70475,0.961771,0.731619,-4.70182,-2.04246,-2.77453,151.947,82.8292,124.12
-352.963,0.991913,0.0112658,2,3,0,360.821,1.69306,0.932493,0.709506,-2.25019,-2.24615,-2.36826,154.759,84.8587,122.807
21.0453,0.645463,0.0192857,3,11,0,295.712,0.0790693,0.182473,-0.776827,-10.4108,-5.00034,-22.3635,-799.735,-484.28,-132.005
65.181,1,0.0114859,1,1,0,-22.509,0.124606,0.205069,-0.78538,8.08825,4.44027,-0.45631,-718.039,-430.611,-50.2022
186.279,0.666667,0.021417,2,3,0,-102.565,0.638872,0.488253,-0.902722,10.4693,4.6768,-5.99587,487.899,366.452,112.726
259.242,1,0.014154,2,3,0,-194.928,0.467468,0.359332,-0.932787,-8.25165,-6.65763,-4.02683,-21.7312,33.5432,238.509
273.995,1,0.0271012,1,1,0,-258.17,0.470998,0.388389,-1.00358,-0.263148,0.0395204,-5.61962,29.0314,76.2089,221.933
273.995,1.76501e-10,0.0520789,1,2,1,-267.186,0.470998,0.388389,-1.00358,2.84984,-0.394321,-2.31123,29.0314,76.2089,221.933
280.074,0.999663,0.00442464,3,7,0,-272.403,0.477754,0.359077,-1.02265,0.13304,-2.05671,-3.33084,-0.0795652,56.4403,221.646
292.48,0.997795,0.00862375,2,3,0,-279.381,0.477075,0.365495,-1.08228,-0.213387,-0.661785,-5.07089,9.74355,70.6063,207.638
331.693,1,0.0166432,3,7,0,-291.627,0.450791,0.366538,-1.31194,1.12856,-1.05196,-8.81769,-100.036,37.7853,136.629
331.693,3.11134e-06,0.0321426,1,1,0,-331.161,0.450791,0.366538,-1.31194,-0.949512,0.075949,-0.397021,-100.036,37.7853,136.629
334.345,0.998635,0.00297534,4,15,0,-330.767,0.467389,0.380032,-1.3344,-1.01615,0.318953,2.45398,14.6407,118.532,127.293
377.947,0.999,0.00576985,4,15,0,-332.475,0.609675,0.164467,-1.52933,3.43099,-5.58483,-6.92692,51.9152,128.114,87.809
394.711,0.956433,0.0111035,3,7,0,-376.709,0.669102,0.03847,-1.61966,-3.45001,3.20649,3.71755,-115.871,-6.11858,62.9564
